t,p1,p2,v1,a1,v2,a2,
0.05,0.303,0.243,-0.341,-0.171,0.303,0.018,
0.1,0.285,0.258,-0.351,-0.138,0.304,-0.024,
0.15,0.267,0.274,-0.357,-0.048,0.302,-0.107,
0.2,0.249,0.289,-0.358,0.106,0.294,-0.222,
0.25,0.231,0.303,-0.351,0.383,0.28,-0.344,
0.3,0.214,0.317,-0.328,0.849,0.26,-0.462,
0.35,0.197,0.329,-0.276,1.457,0.233,-0.564,
0.4,0.183,0.341,-0.169,1.754,0.203,-0.646,
0.45,0.18,0.35,-0.065,1.346,0.168,-0.716,
0.5,0.18,0.358,-0.025,0.711,0.131,-0.771,
0.55,0.179,0.363,-0.009,0.324,0.09,-0.799,
0.6,0.179,0.366,-0.003,0.151,0.05,-0.814,
0.65,0.178,0.368,0.005,0.054,0.009,-0.823,
0.7,0.18,0.367,0.002,-0.01,-0.033,-0.813,
0.75,0.178,0.365,0.001,-0.009,-0.073,-0.796,
0.8,0.18,0.36,0.001,0.036,-0.113,-0.768,
0.85,0.179,0.353,-0.005,0.306,-0.151,-0.701,
0.9,0.179,0.345,0.016,0.878,-0.184,-0.611,
0.95,0.179,0.335,0.077,1.517,-0.211,-0.537,
1.0,0.184,0.324,0.188,1.743,-0.237,-0.469,
1.05,0.198,0.311,0.283,1.333,-0.26,-0.36,
1.1,0.215,0.297,0.327,0.74,-0.275,-0.223,
1.15,0.232,0.283,0.346,0.326,-0.282,-0.086,
1.2,0.25,0.269,0.353,0.07,-0.283,0.039,
1.25,0.268,0.255,0.351,-0.107,-0.278,0.162,
1.3,0.285,0.241,0.341,-0.252,-0.267,0.284,
1.35,0.302,0.228,0.325,-0.393,-0.249,0.39,
1.4,0.318,0.216,0.301,-0.525,-0.228,0.488,
1.45,0.332,0.205,0.272,-0.629,-0.2,0.584,
1.5,0.345,0.195,0.238,-0.725,-0.169,0.666,
1.55,0.356,0.188,0.2,-0.824,-0.133,0.734,
1.6,0.365,0.182,0.155,-0.908,-0.095,0.798,
1.65,0.372,0.178,0.107,-0.963,-0.053,0.842,
1.7,0.376,0.177,0.058,-0.992,-0.009,0.836,
1.75,0.378,0.177,0.007,-0.999,0.032,0.804,
1.8,0.377,0.18,-0.043,-0.987,0.072,0.768,
1.85,0.374,0.185,-0.092,-0.959,0.109,0.723,
1.9,0.368,0.191,-0.14,-0.907,0.145,0.657,
1.95,0.359,0.199,-0.184,-0.823,0.175,0.579,
2.0,0.349,0.209,-0.223,-0.722,0.202,0.502,
2.05,0.337,0.22,-0.256,-0.627,0.227,0.399,
2.1,0.323,0.232,-0.285,-0.536,0.243,0.279,
2.15,0.308,0.244,-0.31,-0.432,0.254,0.182,
2.2,0.292,0.257,-0.329,-0.302,0.261,0.078,
2.25,0.275,0.27,-0.341,-0.153,0.263,-0.049,
2.3,0.258,0.284,-0.344,-0.013,0.257,-0.183,
2.35,0.24,0.297,-0.342,0.143,0.243,-0.289,
2.4,0.223,0.308,-0.334,0.42,0.226,-0.363,
2.45,0.207,0.319,-0.314,0.964,0.208,-0.453,
2.5,0.19,0.329,-0.247,1.627,0.182,-0.56,
2.55,0.179,0.338,-0.126,1.777,0.15,-0.637,
2.6,0.179,0.344,-0.034,1.215,0.116,-0.669,
2.65,0.179,0.349,-0.003,0.546,0.083,-0.692,
2.7,0.179,0.353,0.008,0.121,0.048,-0.727,
2.75,0.181,0.354,-0.001,-0.052,0.01,-0.749,
2.8,0.179,0.354,-0.008,0.012,-0.029,-0.728,
2.85,0.179,0.351,-0.0,0.102,-0.065,-0.678,
2.9,0.179,0.347,0.008,0.111,-0.096,-0.647,
2.95,0.18,0.342,0.011,0.156,-0.128,-0.634,
3.0,0.18,0.334,0.01,0.487,-0.161,-0.579,
3.05,0.18,0.325,0.039,1.182,-0.188,-0.483,
3.1,0.181,0.315,0.133,1.741,-0.209,-0.388,
3.15,0.192,0.304,0.25,1.579,-0.227,-0.288,
3.2,0.209,0.292,0.314,0.919,-0.239,-0.174,
3.25,0.225,0.28,0.332,0.381,-0.243,-0.076,
3.3,0.242,0.268,0.339,0.105,-0.246,0.011,
3.35,0.259,0.255,0.339,-0.058,-0.244,0.124,
3.4,0.276,0.243,0.332,-0.191,-0.234,0.25,
3.45,0.293,0.232,0.32,-0.316,-0.218,0.36,
3.5,0.309,0.221,0.301,-0.443,-0.197,0.445,
3.55,0.323,0.212,0.276,-0.566,-0.173,0.518,
3.6,0.336,0.204,0.244,-0.681,-0.145,0.591,
3.65,0.348,0.197,0.206,-0.775,-0.114,0.657,
3.7,0.357,0.192,0.165,-0.844,-0.079,0.723,
3.75,0.364,0.189,0.122,-0.901,-0.04,0.749,
3.8,0.37,0.188,0.075,-0.942,-0.002,0.733,
3.85,0.372,0.189,0.026,-0.957,0.033,0.713,
3.9,0.372,0.192,-0.021,-0.956,0.07,0.673,
3.95,0.37,0.196,-0.07,-0.939,0.102,0.613,
4.0,0.365,0.202,-0.117,-0.89,0.131,0.553,
4.05,0.358,0.209,-0.16,-0.819,0.157,0.495,
4.1,0.349,0.218,-0.199,-0.738,0.181,0.431,
4.15,0.338,0.228,-0.234,-0.652,0.201,0.349,
4.2,0.326,0.238,-0.264,-0.559,0.217,0.245,
4.25,0.311,0.25,-0.29,-0.447,0.226,0.133,
4.3,0.296,0.261,-0.31,-0.321,0.229,0.037,
4.35,0.28,0.273,-0.322,-0.193,0.229,-0.049,
4.4,0.264,0.284,-0.329,-0.054,0.225,-0.152,
4.45,0.247,0.295,-0.328,0.103,0.214,-0.268,
4.5,0.231,0.306,-0.32,0.305,0.196,-0.354,
4.55,0.215,0.315,-0.303,0.631,0.178,-0.42,
4.6,0.2,0.324,-0.266,1.112,0.155,-0.496,
