t,p1,p2,v1,a1,v2,a2,
0.05,0.299,0.297,-0.076,-0.197,-0.062,-0.117,
0.1,0.295,0.293,-0.087,-0.215,-0.068,-0.137,
0.15,0.29,0.29,-0.098,-0.223,-0.077,-0.146,
0.2,0.285,0.286,-0.11,-0.208,-0.085,-0.117,
0.25,0.279,0.281,-0.118,-0.203,-0.089,-0.081,
0.3,0.273,0.277,-0.133,-0.144,-0.093,-0.046,
0.35,0.265,0.272,-0.134,-0.055,-0.094,0.006,
0.4,0.26,0.267,-0.135,-0.018,-0.092,0.046,
0.45,0.252,0.263,-0.14,0.094,-0.089,0.081,
0.5,0.245,0.258,-0.126,0.201,-0.084,0.121,
0.55,0.239,0.254,-0.115,0.228,-0.077,0.158,
0.6,0.234,0.251,-0.104,0.251,-0.069,0.21,
0.65,0.229,0.247,-0.091,0.274,-0.055,0.249,
0.7,0.224,0.245,-0.076,0.302,-0.042,0.253,
0.75,0.221,0.243,-0.06,0.327,-0.03,0.26,
0.8,0.218,0.242,-0.044,0.352,-0.017,0.283,
0.85,0.217,0.241,-0.025,0.378,-0.002,0.299,
0.9,0.216,0.242,-0.005,0.389,0.014,0.288,
0.95,0.216,0.243,0.015,0.379,0.027,0.265,
1.0,0.217,0.245,0.033,0.358,0.04,0.245,
1.05,0.22,0.247,0.05,0.344,0.052,0.225,
1.1,0.222,0.25,0.067,0.334,0.063,0.199,
1.15,0.226,0.253,0.085,0.303,0.073,0.152,
1.2,0.231,0.257,0.099,0.244,0.078,0.108,
1.25,0.236,0.261,0.109,0.185,0.082,0.098,
1.3,0.242,0.265,0.116,0.144,0.089,0.073,
1.35,0.248,0.27,0.123,0.119,0.091,0.004,
1.4,0.254,0.275,0.128,0.101,0.089,-0.061,
1.45,0.261,0.279,0.132,0.083,0.084,-0.099,
1.5,0.267,0.283,0.14,-0.006,0.078,-0.126,
1.55,0.275,0.287,0.136,-0.179,0.071,-0.151,
1.6,0.282,0.29,0.118,-0.281,0.063,-0.177,
1.65,0.287,0.293,0.103,-0.291,0.054,-0.204,
1.7,0.292,0.296,0.089,-0.291,0.043,-0.231,
1.75,0.296,0.298,0.075,-0.302,0.031,-0.254,
1.8,0.299,0.299,0.06,-0.334,0.018,-0.277,
1.85,0.302,0.299,0.041,-0.362,0.002,-0.283,
1.9,0.304,0.299,0.023,-0.372,-0.012,-0.261,
1.95,0.304,0.298,0.004,-0.38,-0.024,-0.232,
2.0,0.304,0.297,-0.015,-0.381,-0.035,-0.207,
2.05,0.303,0.294,-0.035,-0.36,-0.044,-0.188,
2.1,0.3,0.292,-0.052,-0.326,-0.053,-0.177,
2.15,0.297,0.289,-0.067,-0.295,-0.063,-0.16,
2.2,0.294,0.286,-0.082,-0.264,-0.07,-0.131,
2.25,0.289,0.282,-0.094,-0.221,-0.076,-0.094,
2.3,0.284,0.278,-0.103,-0.185,-0.08,-0.054,
2.35,0.279,0.274,-0.112,-0.155,-0.081,-0.024,
2.4,0.273,0.27,-0.119,-0.113,-0.082,0.002,
2.45,0.267,0.266,-0.124,-0.06,-0.081,0.04,
2.5,0.26,0.262,-0.126,0.008,-0.078,0.085,
2.55,0.254,0.258,-0.123,0.06,-0.073,0.134,
2.6,0.248,0.254,-0.118,0.081,-0.065,0.185,
2.65,0.242,0.251,-0.113,0.086,-0.053,0.217,
2.7,0.237,0.249,-0.113,0.154,-0.042,0.22,
2.75,0.23,0.247,-0.103,0.302,-0.031,0.22,
2.8,0.226,0.246,-0.079,0.385,-0.021,0.234,
2.85,0.223,0.245,-0.06,0.389,-0.008,0.256,
2.9,0.22,0.245,-0.041,0.387,0.006,0.257,
2.95,0.219,0.246,-0.021,0.38,0.018,0.25,
3.0,0.218,0.247,-0.003,0.376,0.031,0.236,
3.05,0.218,0.249,0.016,0.37,0.042,0.216,
3.1,0.22,0.251,0.034,0.356,0.053,0.196,
3.15,0.222,0.254,0.052,0.336,0.062,0.161,
3.2,0.225,0.257,0.069,0.314,0.069,0.126,
3.25,0.229,0.261,0.082,0.316,0.075,0.092,
3.3,0.233,0.265,0.099,0.329,0.078,0.053,
3.35,0.238,0.269,0.121,0.244,0.08,0.011,
3.4,0.246,0.273,0.128,0.076,0.079,-0.031,
3.45,0.252,0.277,0.123,-0.004,0.076,-0.065,
3.5,0.258,0.281,0.124,-0.022,0.072,-0.081,
3.55,0.264,0.284,0.122,-0.056,0.069,-0.107,
3.6,0.27,0.288,0.119,-0.101,0.063,-0.159,
3.65,0.276,0.291,0.112,-0.151,0.052,-0.196,
3.7,0.281,0.293,0.104,-0.196,0.042,-0.209,
3.75,0.287,0.295,0.092,-0.235,0.032,-0.225,
3.8,0.291,0.296,0.08,-0.271,0.02,-0.244,
3.85,0.295,0.297,0.066,-0.315,0.006,-0.244,
3.9,0.298,0.297,0.047,-0.336,-0.006,-0.224,
3.95,0.299,0.296,0.031,-0.323,-0.016,-0.213,
4.0,0.3,0.295,0.016,-0.321,-0.026,-0.214,
4.05,0.301,0.293,-0.001,-0.332,-0.038,-0.208,
4.1,0.3,0.291,-0.018,-0.331,-0.048,-0.182,
4.15,0.299,0.288,-0.034,-0.32,-0.056,-0.148,
4.2,0.297,0.286,-0.05,-0.305,-0.062,-0.125,
4.25,0.294,0.282,-0.065,-0.277,-0.069,-0.096,
4.3,0.29,0.279,-0.078,-0.237,-0.073,-0.058,
4.35,0.286,0.275,-0.089,-0.201,-0.074,-0.03,
4.4,0.281,0.271,-0.098,-0.168,-0.075,-0.008,
4.45,0.276,0.267,-0.105,-0.14,-0.076,0.031,
4.5,0.271,0.263,-0.112,-0.106,-0.073,0.08,
4.55,0.265,0.26,-0.117,-0.043,-0.067,0.125,
4.6,0.259,0.257,-0.117,0.018,-0.06,0.154,
4.65,0.253,0.254,-0.114,0.044,-0.051,0.161,
4.7,0.248,0.252,-0.11,0.045,-0.044,0.172,
4.75,0.243,0.25,-0.113,0.114,-0.035,0.202,
4.8,0.236,0.248,-0.104,0.269,-0.023,0.228,
4.85,0.231,0.247,-0.082,0.357,-0.011,0.235,
4.9,0.228,0.247,-0.063,0.349,0.001,0.225,
4.95,0.225,0.247,-0.047,0.33,0.011,0.221,
5.0,0.223,0.248,-0.031,0.323,0.023,0.223,
5.05,0.222,0.25,-0.015,0.323,0.034,0.208,
5.1,0.222,0.252,0.001,0.331,0.043,0.19,
5.15,0.222,0.254,0.018,0.331,0.053,0.175,
5.2,0.223,0.257,0.034,0.318,0.062,0.141,
5.25,0.226,0.26,0.05,0.298,0.068,0.097,
5.3,0.229,0.264,0.064,0.284,0.071,0.054,
5.35,0.232,0.267,0.077,0.293,0.073,0.015,
5.4,0.236,0.271,0.093,0.303,0.073,-0.02,
5.45,0.241,0.275,0.113,0.219,0.071,-0.047,
5.5,0.248,0.278,0.119,0.06,0.068,-0.072,
5.55,0.253,0.282,0.113,-0.01,0.064,-0.109,
5.6,0.259,0.285,0.115,-0.018,0.057,-0.144,
5.65,0.265,0.287,0.115,-0.064,0.048,-0.162,
5.7,0.271,0.289,0.108,-0.115,0.04,-0.163,
5.75,0.276,0.291,0.101,-0.144,0.033,-0.177,
5.8,0.281,0.293,0.094,-0.177,0.023,-0.203,
5.85,0.285,0.294,0.084,-0.211,0.012,-0.217,
5.9,0.289,0.294,0.073,-0.24,0.001,-0.213,
5.95,0.293,0.294,0.06,-0.268,-0.01,-0.203,
6.0,0.295,0.293,0.046,-0.294,-0.019,-0.205,
6.05,0.297,0.292,0.031,-0.328,-0.03,-0.2,
6.1,0.299,0.29,0.013,-0.354,-0.041,-0.164,
6.15,0.299,0.288,-0.006,-0.347,-0.047,-0.129,
6.2,0.298,0.285,-0.023,-0.306,-0.053,-0.109,
6.25,0.296,0.282,-0.036,-0.269,-0.057,-0.094,
6.3,0.294,0.28,-0.049,-0.259,-0.062,-0.074,
6.35,0.291,0.276,-0.062,-0.246,-0.065,-0.037,
6.4,0.288,0.273,-0.074,-0.224,-0.066,-0.009,
6.45,0.284,0.27,-0.085,-0.196,-0.066,0.012,
6.5,0.279,0.266,-0.094,-0.152,-0.064,0.034,
6.55,0.274,0.263,-0.1,-0.111,-0.063,0.071,
6.6,0.269,0.26,-0.105,-0.074,-0.059,0.132,
6.65,0.264,0.257,-0.108,-0.036,-0.048,0.162,
6.7,0.258,0.255,-0.107,-0.02,-0.041,0.161,
6.75,0.253,0.253,-0.108,-0.019,-0.033,0.17,
6.8,0.248,0.252,-0.114,0.061,-0.024,0.174,
6.85,0.241,0.251,-0.107,0.219,-0.016,0.183,
6.9,0.237,0.25,-0.087,0.304,-0.006,0.206,
6.95,0.233,0.25,-0.072,0.306,0.005,0.216,
7.0,0.229,0.251,-0.057,0.296,0.016,0.207,
7.05,0.227,0.252,-0.043,0.289,0.026,0.185,
7.1,0.225,0.253,-0.029,0.297,0.035,0.169,
7.15,0.224,0.255,-0.013,0.313,0.043,0.157,
