t,p1,p2,v1,a1,v2,a2,
0.05,0.266,0.273,-0.273,-0.02,0.274,-0.115,
0.1,0.253,0.286,-0.278,0.094,0.268,-0.178,
0.15,0.238,0.3,-0.269,0.307,0.257,-0.26,
0.2,0.225,0.312,-0.243,0.463,0.242,-0.354,
0.25,0.214,0.324,-0.219,0.558,0.221,-0.447,
0.3,0.203,0.334,-0.19,0.675,0.196,-0.518,
0.35,0.194,0.344,-0.152,0.777,0.169,-0.578,
0.4,0.187,0.351,-0.106,0.76,0.139,-0.643,
0.45,0.184,0.358,-0.07,0.63,0.105,-0.719,
0.5,0.181,0.362,-0.047,0.568,0.066,-0.774,
0.55,0.179,0.365,-0.018,0.581,0.026,-0.791,
0.6,0.179,0.365,0.013,0.579,-0.014,-0.778,
0.65,0.181,0.363,0.042,0.561,-0.051,-0.762,
0.7,0.184,0.36,0.065,0.605,-0.091,-0.733,
0.75,0.187,0.354,0.098,0.717,-0.126,-0.674,
0.8,0.193,0.347,0.143,0.722,-0.157,-0.627,
0.85,0.202,0.338,0.177,0.607,-0.189,-0.576,
0.9,0.211,0.328,0.202,0.507,-0.217,-0.489,
0.95,0.222,0.316,0.225,0.433,-0.239,-0.379,
1.0,0.233,0.304,0.249,0.284,-0.255,-0.249,
1.05,0.247,0.291,0.257,0.062,-0.264,-0.108,
1.1,0.26,0.277,0.252,-0.093,-0.265,0.009,
1.15,0.272,0.264,0.245,-0.18,-0.262,0.111,
1.2,0.284,0.251,0.233,-0.244,-0.255,0.224,
1.25,0.296,0.238,0.22,-0.297,-0.241,0.348,
1.3,0.306,0.226,0.204,-0.365,-0.219,0.466,
1.35,0.316,0.216,0.184,-0.437,-0.193,0.567,
1.4,0.325,0.207,0.16,-0.505,-0.162,0.647,
1.45,0.332,0.2,0.133,-0.564,-0.127,0.697,
1.5,0.338,0.194,0.103,-0.618,-0.092,0.741,
1.55,0.343,0.19,0.071,-0.664,-0.053,0.774,
1.6,0.346,0.189,0.036,-0.688,-0.013,0.775,
1.65,0.346,0.189,0.001,-0.687,0.025,0.759,
1.7,0.346,0.191,-0.033,-0.675,0.063,0.739,
1.75,0.343,0.195,-0.067,-0.658,0.1,0.694,
1.8,0.339,0.202,-0.1,-0.622,0.133,0.62,
1.85,0.333,0.209,-0.129,-0.574,0.162,0.551,
1.9,0.326,0.218,-0.157,-0.52,0.189,0.469,
1.95,0.317,0.228,-0.182,-0.454,0.21,0.362,
2.0,0.307,0.239,-0.203,-0.372,0.225,0.258,
2.05,0.297,0.251,-0.219,-0.29,0.235,0.158,
2.1,0.286,0.263,-0.232,-0.211,0.242,0.04,
2.15,0.273,0.275,-0.241,-0.117,0.24,-0.088,
2.2,0.261,0.287,-0.243,-0.037,0.231,-0.189,
2.25,0.249,0.298,-0.242,0.018,0.22,-0.271,
2.3,0.237,0.309,-0.246,0.155,0.206,-0.37,
2.35,0.224,0.319,-0.233,0.392,0.183,-0.466,
2.4,0.213,0.328,-0.202,0.553,0.157,-0.522,
2.45,0.204,0.335,-0.173,0.63,0.13,-0.556,
2.5,0.196,0.341,-0.14,0.714,0.102,-0.6,
2.55,0.189,0.345,-0.102,0.784,0.07,-0.635,
2.6,0.185,0.348,-0.056,0.74,0.036,-0.631,
2.65,0.184,0.349,-0.022,0.588,0.006,-0.615,
2.7,0.184,0.348,-0.001,0.506,-0.024,-0.609,
2.75,0.184,0.346,0.024,0.518,-0.055,-0.597,
2.8,0.186,0.343,0.046,0.618,-0.085,-0.564,
2.85,0.188,0.338,0.083,0.773,-0.113,-0.506,
2.9,0.194,0.332,0.131,0.793,-0.135,-0.445,
2.95,0.202,0.324,0.168,0.695,-0.157,-0.393,
3.0,0.211,0.316,0.199,0.597,-0.175,-0.334,
3.05,0.221,0.307,0.231,0.428,-0.19,-0.275,
3.1,0.235,0.297,0.245,0.197,-0.204,-0.187,
3.15,0.246,0.286,0.245,0.056,-0.21,-0.06,
3.2,0.259,0.275,0.248,-0.033,-0.209,0.042,
3.25,0.272,0.265,0.243,-0.132,-0.204,0.104,
3.3,0.283,0.255,0.234,-0.218,-0.198,0.161,
3.35,0.295,0.245,0.222,-0.313,-0.189,0.244,
3.4,0.306,0.236,0.204,-0.419,-0.174,0.342,
3.45,0.316,0.227,0.18,-0.518,-0.154,0.428,
