t,p1,p2,v1,a1,v2,a2,
0.05,0.19,0.32,0.117,0.341,-0.114,-0.298,
0.1,0.196,0.314,0.136,0.397,-0.131,-0.335,
0.15,0.204,0.307,0.158,0.416,-0.15,-0.328,
0.2,0.212,0.299,0.18,0.378,-0.166,-0.278,
0.25,0.222,0.29,0.198,0.298,-0.178,-0.217,
0.3,0.232,0.281,0.21,0.21,-0.188,-0.148,
0.35,0.243,0.271,0.218,0.129,-0.194,-0.067,
0.4,0.254,0.261,0.224,0.032,-0.195,0.01,
0.45,0.266,0.251,0.222,-0.077,-0.193,0.091,
0.5,0.277,0.242,0.216,-0.18,-0.187,0.192,
0.55,0.287,0.232,0.203,-0.267,-0.174,0.297,
0.6,0.297,0.224,0.189,-0.343,-0.155,0.355,
0.65,0.306,0.217,0.169,-0.418,-0.137,0.392,
0.7,0.314,0.21,0.146,-0.473,-0.117,0.446,
0.75,0.321,0.205,0.121,-0.511,-0.092,0.493,
0.8,0.327,0.201,0.095,-0.55,-0.067,0.534,
0.85,0.331,0.198,0.066,-0.586,-0.038,0.56,
0.9,0.333,0.197,0.036,-0.612,-0.01,0.567,
0.95,0.334,0.197,0.005,-0.626,0.018,0.571,
1.0,0.334,0.199,-0.027,-0.624,0.048,0.553,
1.05,0.332,0.202,-0.059,-0.597,0.075,0.51,
1.1,0.328,0.206,-0.088,-0.551,0.099,0.46,
1.15,0.323,0.212,-0.114,-0.501,0.121,0.395,
1.2,0.316,0.219,-0.138,-0.455,0.139,0.322,
1.25,0.309,0.226,-0.159,-0.408,0.153,0.26,
1.3,0.3,0.234,-0.179,-0.347,0.165,0.196,
1.35,0.291,0.243,-0.196,-0.244,0.174,0.109,
1.4,0.28,0.252,-0.204,-0.129,0.176,0.023,
1.45,0.27,0.261,-0.207,-0.044,0.175,-0.05,
1.5,0.259,0.269,-0.208,0.037,0.171,-0.116,
1.55,0.249,0.278,-0.204,0.126,0.163,-0.177,
1.6,0.239,0.286,-0.196,0.212,0.153,-0.237,
