t,p1,p2,v1,a1,v2,a2,
0.05,0.253,0.26,-0.106,0.153,-0.082,0.195,
0.1,0.248,0.256,-0.098,0.212,-0.072,0.26,
0.15,0.243,0.253,-0.085,0.28,-0.057,0.349,
0.2,0.24,0.25,-0.073,0.409,-0.036,0.43,
0.25,0.235,0.249,-0.043,0.522,-0.012,0.461,
0.3,0.236,0.249,-0.016,0.537,0.011,0.463,
0.35,0.234,0.25,0.007,0.593,0.035,0.451,
0.4,0.235,0.253,0.048,0.556,0.058,0.403,
0.45,0.24,0.256,0.071,0.378,0.077,0.319,
0.5,0.243,0.261,0.082,0.266,0.09,0.231,
0.55,0.247,0.265,0.094,0.215,0.099,0.144,
0.6,0.252,0.271,0.104,0.155,0.104,0.053,
0.65,0.258,0.276,0.11,0.078,0.105,-0.041,
0.7,0.264,0.281,0.113,-0.015,0.101,-0.138,
0.75,0.27,0.286,0.109,-0.116,0.091,-0.228,
0.8,0.275,0.291,0.1,-0.208,0.077,-0.293,
0.85,0.28,0.294,0.088,-0.294,0.06,-0.33,
0.9,0.284,0.297,0.071,-0.367,0.043,-0.359,
0.95,0.287,0.298,0.05,-0.403,0.024,-0.384,
1.0,0.289,0.299,0.029,-0.404,0.005,-0.398,
1.05,0.29,0.299,0.01,-0.402,-0.016,-0.4,
1.1,0.29,0.298,-0.011,-0.408,-0.037,-0.372,
1.15,0.289,0.295,-0.032,-0.396,-0.054,-0.329,
1.2,0.287,0.292,-0.052,-0.356,-0.069,-0.304,
1.25,0.283,0.288,-0.069,-0.291,-0.085,-0.26,
1.3,0.28,0.283,-0.081,-0.22,-0.097,-0.172,
1.35,0.275,0.278,-0.091,-0.148,-0.103,-0.072,
1.4,0.27,0.273,-0.095,-0.09,-0.104,0.026,
1.45,0.265,0.268,-0.099,-0.036,-0.099,0.105,
1.5,0.26,0.263,-0.1,0.04,-0.093,0.174,
1.55,0.256,0.258,-0.101,0.207,-0.082,0.253,
1.6,0.249,0.255,-0.079,0.359,-0.068,0.336,
1.65,0.248,0.251,-0.054,0.328,-0.048,0.408,
1.7,0.245,0.25,-0.045,0.285,-0.025,0.441,
1.75,0.243,0.249,-0.035,0.393,-0.004,0.453,
1.8,0.24,0.249,-0.006,0.499,0.02,0.451,
1.85,0.242,0.251,0.025,0.428,0.044,0.408,
1.9,0.244,0.254,0.038,0.322,0.062,0.351,
1.95,0.246,0.257,0.052,0.288,0.078,0.293,
2.0,0.249,0.262,0.067,0.259,0.093,0.206,
2.05,0.253,0.267,0.081,0.194,0.1,0.104,
2.1,0.257,0.272,0.087,0.098,0.102,0.014,
2.15,0.262,0.277,0.09,0.01,0.101,-0.077,
2.2,0.266,0.282,0.088,-0.074,0.094,-0.154,
2.25,0.271,0.286,0.082,-0.145,0.084,-0.201,
2.3,0.275,0.291,0.073,-0.198,0.074,-0.25,
2.35,0.278,0.294,0.062,-0.252,0.06,-0.308,
2.4,0.281,0.297,0.048,-0.307,0.042,-0.357,
2.45,0.283,0.298,0.031,-0.344,0.023,-0.387,
2.5,0.284,0.299,0.012,-0.355,0.003,-0.398,
2.55,0.284,0.299,-0.005,-0.35,-0.018,-0.382,
2.6,0.283,0.297,-0.023,-0.332,-0.036,-0.353,
2.65,0.282,0.295,-0.039,-0.304,-0.053,-0.323,
2.7,0.28,0.292,-0.053,-0.272,-0.068,-0.283,
2.75,0.276,0.288,-0.067,-0.213,-0.082,-0.217,
2.8,0.273,0.283,-0.076,-0.135,-0.091,-0.125,
2.85,0.269,0.279,-0.08,-0.069,-0.094,-0.035,
2.9,0.264,0.274,-0.083,-0.004,-0.093,0.03,
2.95,0.26,0.269,-0.081,0.068,-0.092,0.098,
3.0,0.256,0.264,-0.076,0.144,-0.085,0.188,
3.05,0.252,0.261,-0.066,0.203,-0.072,0.263,
3.1,0.25,0.257,-0.055,0.246,-0.058,0.326,
3.15,0.247,0.255,-0.043,0.309,-0.039,0.376,
3.2,0.245,0.253,-0.024,0.362,-0.019,0.401,
3.25,0.245,0.253,-0.004,0.364,0.002,0.398,
3.3,0.245,0.254,0.014,0.345,0.022,0.362,
3.35,0.246,0.255,0.03,0.335,0.038,0.333,
3.4,0.248,0.257,0.047,0.314,0.055,0.296,
3.45,0.251,0.261,0.063,0.257,0.07,0.215,
3.5,0.254,0.265,0.075,0.171,0.077,0.13,
3.55,0.258,0.268,0.08,0.089,0.082,0.065,
3.6,0.262,0.273,0.083,0.019,0.084,-0.003,
3.65,0.267,0.277,0.082,-0.05,0.081,-0.07,
3.7,0.271,0.281,0.077,-0.109,0.076,-0.129,
3.75,0.275,0.285,0.071,-0.163,0.068,-0.185,
3.8,0.278,0.288,0.062,-0.229,0.058,-0.246,
3.85,0.281,0.291,0.048,-0.293,0.044,-0.308,
3.9,0.283,0.293,0.031,-0.332,0.025,-0.331,
3.95,0.284,0.293,0.014,-0.344,0.009,-0.313,
4.0,0.284,0.293,-0.004,-0.341,-0.005,-0.303,
4.05,0.284,0.293,-0.021,-0.319,-0.021,-0.303,
4.1,0.282,0.291,-0.036,-0.283,-0.037,-0.277,
4.15,0.28,0.289,-0.049,-0.253,-0.049,-0.243,
4.2,0.277,0.286,-0.062,-0.215,-0.061,-0.207,
4.25,0.274,0.283,-0.072,-0.152,-0.071,-0.142,
4.3,0.27,0.279,-0.077,-0.09,-0.075,-0.071,
4.35,0.266,0.275,-0.081,-0.025,-0.078,0.005,
4.4,0.262,0.271,-0.08,0.051,-0.075,0.086,
4.45,0.258,0.267,-0.075,0.116,-0.069,0.148,
4.5,0.254,0.264,-0.068,0.17,-0.06,0.202,
4.55,0.251,0.261,-0.058,0.228,-0.048,0.254,
4.6,0.248,0.259,-0.045,0.284,-0.034,0.29,
4.65,0.246,0.258,-0.029,0.32,-0.019,0.311,
4.7,0.245,0.257,-0.012,0.333,-0.003,0.322,
4.75,0.245,0.257,0.005,0.327,0.014,0.32,
4.8,0.246,0.259,0.021,0.308,0.031,0.287,
4.85,0.247,0.261,0.036,0.285,0.043,0.237,
4.9,0.249,0.263,0.05,0.261,0.054,0.193,
4.95,0.252,0.266,0.063,0.221,0.063,0.14,
5.0,0.256,0.27,0.073,0.153,0.069,0.073,
5.05,0.26,0.273,0.079,0.068,0.07,0.011,
5.1,0.264,0.277,0.08,-0.011,0.069,-0.051,
5.15,0.268,0.28,0.077,-0.081,0.066,-0.125,
5.2,0.272,0.283,0.071,-0.145,0.057,-0.196,
5.25,0.275,0.286,0.062,-0.201,0.044,-0.229,
5.3,0.278,0.288,0.051,-0.252,0.033,-0.246,
5.35,0.28,0.289,0.036,-0.278,0.02,-0.268,
5.4,0.281,0.29,0.023,-0.29,0.006,-0.287,
5.45,0.283,0.29,0.007,-0.305,-0.009,-0.295,
5.5,0.282,0.289,-0.009,-0.286,-0.024,-0.277,
5.55,0.281,0.287,-0.022,-0.256,-0.037,-0.243,
5.6,0.28,0.285,-0.034,-0.243,-0.049,-0.205,
5.65,0.278,0.282,-0.046,-0.225,-0.058,-0.161,
5.7,0.275,0.279,-0.058,-0.168,-0.065,-0.106,
5.75,0.272,0.276,-0.064,-0.096,-0.069,-0.038,
5.8,0.269,0.272,-0.066,-0.051,-0.07,0.036,
5.85,0.265,0.269,-0.069,-0.006,-0.065,0.098,
5.9,0.262,0.266,-0.068,0.063,-0.059,0.14,
5.95,0.258,0.263,-0.063,0.139,-0.052,0.194,
6.0,0.255,0.26,-0.053,0.191,-0.039,0.245,
6.05,0.253,0.259,-0.042,0.208,-0.026,0.269,
6.1,0.251,0.258,-0.032,0.211,-0.012,0.282,
6.15,0.25,0.258,-0.021,0.215,0.002,0.289,
6.2,0.249,0.258,-0.015,0.301,0.017,0.287,
6.25,0.247,0.259,0.009,0.384,0.032,0.257,
6.3,0.25,0.261,0.033,0.301,0.044,0.21,
6.35,0.252,0.264,0.04,0.191,0.053,0.17,
6.4,0.254,0.267,0.048,0.142,0.061,0.127,
6.45,0.257,0.27,0.054,0.1,0.066,0.073,
6.5,0.259,0.273,0.058,0.054,0.069,-0.0,
6.55,0.263,0.277,0.059,0.004,0.066,-0.072,
6.6,0.265,0.28,0.058,-0.038,0.06,-0.117,
6.65,0.268,0.283,0.056,-0.092,0.054,-0.162,
6.7,0.271,0.286,0.05,-0.152,0.044,-0.21,
6.75,0.274,0.288,0.04,-0.19,0.033,-0.25,
6.8,0.275,0.289,0.03,-0.205,0.019,-0.284,
6.85,0.276,0.29,0.02,-0.222,0.003,-0.286,
6.9,0.277,0.289,0.008,-0.242,-0.01,-0.265,
6.95,0.277,0.289,-0.006,-0.242,-0.023,-0.236,
7.0,0.277,0.287,-0.017,-0.223,-0.034,-0.196,
7.05,0.276,0.285,-0.028,-0.194,-0.043,-0.163,
7.1,0.274,0.283,-0.038,-0.148,-0.05,-0.143,
7.15,0.272,0.28,-0.043,-0.106,-0.057,-0.12,
7.2,0.269,0.277,-0.048,-0.075,-0.064,-0.064,
7.25,0.267,0.273,-0.051,-0.037,-0.064,0.01,
7.3,0.264,0.27,-0.052,0.012,-0.062,0.069,
7.35,0.262,0.267,-0.05,0.068,-0.057,0.13,
7.4,0.259,0.264,-0.044,0.115,-0.048,0.179,
7.45,0.257,0.262,-0.038,0.154,-0.039,0.207,
7.5,0.255,0.261,-0.029,0.186,-0.027,0.227,
7.55,0.254,0.26,-0.019,0.203,-0.015,0.232,
7.6,0.253,0.259,-0.008,0.211,-0.005,0.25,
7.65,0.253,0.259,0.003,0.21,0.009,0.274,
7.7,0.254,0.26,0.013,0.206,0.024,0.259,
7.75,0.255,0.262,0.024,0.195,0.037,0.208,
7.8,0.256,0.264,0.033,0.165,0.045,0.153,
7.85,0.258,0.266,0.04,0.127,0.051,0.122,
7.9,0.26,0.269,0.046,0.085,0.057,0.091,
7.95,0.263,0.272,0.049,0.037,0.062,0.028,
8.0,0.265,0.275,0.05,-0.028,0.06,-0.038,
8.05,0.268,0.278,0.046,-0.093,0.057,-0.092,
8.1,0.27,0.281,0.039,-0.122,0.052,-0.154,
8.15,0.272,0.283,0.034,-0.135,0.041,-0.192,
8.2,0.273,0.285,0.027,-0.161,0.031,-0.198,
8.25,0.274,0.287,0.018,-0.19,0.021,-0.212,
8.3,0.275,0.287,0.007,-0.206,0.01,-0.227,
8.35,0.275,0.288,-0.004,-0.198,-0.001,-0.239,
8.4,0.275,0.287,-0.013,-0.185,-0.015,-0.224,
8.45,0.274,0.286,-0.023,-0.166,-0.025,-0.185,
8.5,0.272,0.285,-0.03,-0.14,-0.033,-0.156,
8.55,0.271,0.283,-0.036,-0.127,-0.04,-0.13,
8.6,0.269,0.281,-0.043,-0.103,-0.046,-0.1,
8.65,0.266,0.278,-0.048,-0.052,-0.051,-0.06,
8.7,0.264,0.276,-0.048,-0.003,-0.053,-0.003,
8.75,0.262,0.273,-0.047,0.038,-0.051,0.058,
8.8,0.259,0.27,-0.045,0.086,-0.046,0.093,
8.85,0.257,0.268,-0.039,0.131,-0.041,0.113,
8.9,0.255,0.266,-0.031,0.158,-0.036,0.151,
8.95,0.254,0.264,-0.022,0.174,-0.026,0.195,
9.0,0.253,0.263,-0.013,0.188,-0.015,0.214,
9.05,0.252,0.263,-0.004,0.206,-0.004,0.219,
9.1,0.252,0.263,0.008,0.21,0.007,0.221,
9.15,0.253,0.264,0.018,0.193,0.018,0.207,
9.2,0.254,0.265,0.027,0.17,0.028,0.175,
9.25,0.256,0.267,0.035,0.142,0.036,0.129,
9.3,0.258,0.269,0.042,0.107,0.041,0.079,
9.35,0.26,0.271,0.046,0.069,0.043,0.045,
9.4,0.263,0.273,0.049,0.029,0.046,0.014,
9.45,0.265,0.275,0.05,-0.024,0.046,-0.035,
9.5,0.268,0.278,0.046,-0.071,0.042,-0.087,
9.55,0.27,0.28,0.042,-0.108,0.037,-0.128,
9.6,0.272,0.281,0.035,-0.143,0.029,-0.152,
9.65,0.274,0.283,0.027,-0.169,0.02,-0.156,
9.7,0.275,0.283,0.018,-0.188,0.014,-0.168,
9.75,0.275,0.284,0.008,-0.199,0.005,-0.199,
9.8,0.276,0.284,-0.002,-0.193,-0.008,-0.197,
9.85,0.275,0.283,-0.012,-0.176,-0.016,-0.171,
9.9,0.274,0.282,-0.02,-0.165,-0.025,-0.142,
9.95,0.273,0.281,-0.028,-0.15,-0.031,-0.104,
10.0,0.271,0.279,-0.035,-0.119,-0.034,-0.084,
10.05,0.27,0.277,-0.04,-0.082,-0.039,-0.066,
10.1,0.267,0.275,-0.044,-0.041,-0.042,-0.019,
10.15,0.265,0.273,-0.044,-0.005,-0.041,0.036,
10.2,0.263,0.271,-0.044,0.028,-0.037,0.067,
10.25,0.261,0.269,-0.042,0.066,-0.034,0.086,
10.3,0.259,0.268,-0.037,0.103,-0.03,0.125,
10.35,0.257,0.266,-0.031,0.139,-0.021,0.158,
10.4,0.255,0.265,-0.023,0.166,-0.013,0.166,
10.45,0.255,0.265,-0.014,0.17,-0.005,0.176,
10.5,0.254,0.265,-0.006,0.17,0.005,0.174,
10.55,0.254,0.265,0.003,0.18,0.013,0.155,
10.6,0.254,0.266,0.013,0.175,0.02,0.141,
10.65,0.255,0.268,0.021,0.148,0.027,0.129,
10.7,0.257,0.269,0.028,0.118,0.033,0.115,
10.75,0.258,0.271,0.033,0.086,0.04,0.074,
10.8,0.26,0.273,0.036,0.05,0.042,0.013,
10.85,0.262,0.275,0.037,0.027,0.041,-0.032,
10.9,0.264,0.277,0.039,-0.0,0.038,-0.062,
10.95,0.266,0.279,0.038,-0.044,0.034,-0.085,
11.0,0.268,0.281,0.034,-0.077,0.03,-0.123,
11.05,0.269,0.282,0.03,-0.101,0.021,-0.149,
11.1,0.271,0.283,0.024,-0.121,0.014,-0.154,
11.15,0.272,0.283,0.018,-0.143,0.006,-0.161,
11.2,0.273,0.283,0.01,-0.17,-0.002,-0.169,
11.25,0.273,0.283,-0.0,-0.172,-0.011,-0.17,
11.3,0.272,0.282,-0.008,-0.146,-0.02,-0.147,
11.35,0.272,0.281,-0.015,-0.119,-0.026,-0.117,
11.4,0.271,0.28,-0.02,-0.095,-0.031,-0.097,
11.45,0.27,0.278,-0.023,-0.087,-0.036,-0.068,
11.5,0.269,0.276,-0.029,-0.074,-0.038,-0.035,
11.55,0.267,0.274,-0.032,-0.038,-0.04,0.002,
11.6,0.265,0.272,-0.032,0.0,-0.038,0.045,
11.65,0.264,0.27,-0.031,0.025,-0.034,0.074,
11.7,0.262,0.269,-0.03,0.055,-0.03,0.093,
11.75,0.261,0.267,-0.026,0.083,-0.025,0.112,
11.8,0.259,0.266,-0.021,0.093,-0.019,0.129,
11.85,0.258,0.265,-0.017,0.105,-0.013,0.151,
11.9,0.258,0.265,-0.011,0.127,-0.004,0.174,
11.95,0.257,0.265,-0.004,0.151,0.006,0.172,
12.0,0.257,0.265,0.005,0.156,0.014,0.146,
12.05,0.258,0.266,0.013,0.131,0.02,0.121,
12.1,0.259,0.267,0.019,0.091,0.026,0.106,
12.15,0.26,0.269,0.021,0.064,0.031,0.091,
12.2,0.261,0.27,0.024,0.06,0.035,0.065,
12.25,0.262,0.273,0.028,0.035,0.039,0.019,
12.3,0.264,0.275,0.028,-0.008,0.037,-0.021,
12.35,0.265,0.276,0.026,-0.032,0.036,-0.042,
12.4,0.266,0.278,0.025,-0.047,0.033,-0.071,
