t,p1,p2,v1,a1,v2,a2,
0.05,0.298,0.266,0.027,-0.288,0.022,-0.036,
0.1,0.299,0.267,0.012,-0.346,0.021,-0.055,
0.15,0.299,0.268,-0.008,-0.388,0.017,-0.08,
0.2,0.298,0.269,-0.029,-0.396,0.012,-0.091,
0.25,0.296,0.27,-0.049,-0.376,0.007,-0.083,
0.3,0.293,0.27,-0.067,-0.338,0.003,-0.058,
0.35,0.289,0.27,-0.083,-0.298,0.001,-0.028,
0.4,0.285,0.27,-0.098,-0.247,0.001,-0.015,
0.45,0.279,0.27,-0.108,-0.176,0.0,-0.01,
0.5,0.274,0.27,-0.115,-0.104,-0.001,0.008,
0.55,0.268,0.27,-0.119,-0.031,0.0,0.036,
0.6,0.262,0.27,-0.118,0.038,0.003,0.072,
0.65,0.256,0.27,-0.115,0.115,0.007,0.113,
0.7,0.25,0.27,-0.106,0.184,0.015,0.131,
0.75,0.245,0.271,-0.095,0.213,0.022,0.113,
0.8,0.241,0.273,-0.083,0.215,0.026,0.096,
0.85,0.237,0.274,-0.077,0.29,0.03,0.103,
0.9,0.232,0.275,-0.059,0.443,0.036,0.109,
0.95,0.231,0.278,-0.028,0.517,0.043,0.085,
1.0,0.23,0.28,-0.003,0.513,0.046,0.042,
1.05,0.23,0.282,0.022,0.494,0.047,-0.0,
1.1,0.232,0.285,0.05,0.398,0.045,-0.034,
1.15,0.236,0.287,0.066,0.237,0.043,-0.071,
1.2,0.239,0.289,0.069,0.156,0.039,-0.126,
1.25,0.243,0.291,0.077,0.145,0.03,-0.171,
1.3,0.247,0.292,0.085,0.112,0.021,-0.195,
1.35,0.251,0.293,0.09,0.053,0.011,-0.209,
1.4,0.256,0.293,0.09,0.0,0.0,-0.232,
1.45,0.26,0.293,0.09,-0.044,-0.012,-0.264,
1.5,0.265,0.292,0.087,-0.104,-0.027,-0.266,
1.55,0.269,0.29,0.079,-0.155,-0.04,-0.239,
1.6,0.273,0.288,0.07,-0.187,-0.051,-0.219,
1.65,0.276,0.285,0.06,-0.217,-0.062,-0.199,
1.7,0.279,0.282,0.048,-0.236,-0.071,-0.173,
1.75,0.281,0.278,0.036,-0.233,-0.08,-0.138,
1.8,0.282,0.274,0.025,-0.231,-0.086,-0.082,
1.85,0.283,0.269,0.013,-0.239,-0.088,-0.02,
1.9,0.284,0.265,0.0,-0.234,-0.087,0.036,
1.95,0.283,0.261,-0.011,-0.209,-0.084,0.092,
