t,p1,p2,v1,a1,v2,a2,
0.05,0.263,0.217,0.0,0.025,0.02,0.281,
0.1,0.263,0.218,0.001,0.013,0.037,0.353,
0.15,0.263,0.22,0.002,0.002,0.057,0.396,
0.2,0.263,0.224,0.001,-0.006,0.078,0.406,
0.25,0.263,0.228,0.0,-0.005,0.099,0.387,
0.3,0.263,0.234,0.0,0.002,0.118,0.334,
0.35,0.263,0.24,0.001,-0.001,0.133,0.265,
0.4,0.263,0.247,0.001,-0.015,0.144,0.197,
0.45,0.263,0.255,-0.0,-0.024,0.153,0.128,
0.5,0.263,0.262,-0.002,-0.016,0.157,0.068,
0.55,0.263,0.27,-0.003,0.003,0.16,-0.003,
0.6,0.263,0.279,-0.001,0.007,0.157,-0.091,
0.65,0.263,0.286,-0.001,0.003,0.15,-0.162,
0.7,0.263,0.294,-0.001,0.006,0.141,-0.231,
0.75,0.263,0.301,-0.001,0.005,0.127,-0.303,
0.8,0.263,0.306,-0.001,0.008,0.109,-0.346,
0.85,0.262,0.311,0.0,0.01,0.092,-0.386,
0.9,0.263,0.316,0.001,-0.0,0.072,-0.439,
0.95,0.263,0.319,0.0,-0.01,0.047,-0.469,
1.0,0.263,0.321,-0.001,-0.009,0.024,-0.476,
1.05,0.262,0.321,-0.001,-0.008,-0.0,-0.474,
1.1,0.263,0.321,-0.002,-0.008,-0.025,-0.453,
1.15,0.262,0.319,-0.002,0.003,-0.047,-0.414,
1.2,0.262,0.316,-0.001,0.004,-0.066,-0.379,
1.25,0.262,0.312,-0.001,-0.008,-0.084,-0.346,
1.3,0.262,0.307,-0.002,-0.007,-0.101,-0.307,
1.35,0.262,0.302,-0.002,0.009,-0.115,-0.269,
1.4,0.262,0.296,-0.001,0.011,-0.128,-0.214,
1.45,0.262,0.289,-0.001,0.001,-0.137,-0.143,
1.5,0.262,0.282,-0.001,-0.001,-0.142,-0.08,
1.55,0.262,0.275,-0.001,0.006,-0.145,-0.021,
1.6,0.262,0.267,-0.0,0.01,-0.145,0.049,
1.65,0.262,0.26,0.0,0.01,-0.14,0.116,
1.7,0.262,0.253,0.0,0.012,-0.132,0.165,
1.75,0.262,0.247,0.001,0.014,-0.124,0.218,
1.8,0.262,0.241,0.002,0.015,-0.111,0.286,
1.85,0.262,0.235,0.002,0.02,-0.095,0.35,
1.9,0.262,0.231,0.004,0.015,-0.075,0.395,
1.95,0.262,0.228,0.005,0.0,-0.055,0.423,
2.0,0.263,0.226,0.004,-0.006,-0.033,0.447,
2.05,0.263,0.224,0.004,-0.004,-0.009,0.458,
2.1,0.263,0.225,0.003,-0.002,0.014,0.451,
2.15,0.263,0.226,0.003,-0.001,0.036,0.437,
2.2,0.263,0.228,0.003,-0.003,0.058,0.407,
2.25,0.263,0.232,0.003,-0.008,0.078,0.351,
2.3,0.264,0.236,0.003,-0.014,0.093,0.287,
2.35,0.264,0.241,0.001,-0.009,0.105,0.243,
2.4,0.264,0.247,0.002,-0.002,0.118,0.191,
2.45,0.264,0.253,0.002,-0.014,0.126,0.118,
2.5,0.264,0.26,0.0,-0.024,0.129,0.063,
2.55,0.264,0.266,-0.001,-0.02,0.131,0.032,
2.6,0.264,0.273,-0.002,-0.015,0.133,-0.008,
2.65,0.264,0.279,-0.002,-0.017,0.131,-0.077,
2.7,0.264,0.286,-0.003,-0.02,0.125,-0.155,
2.75,0.263,0.292,-0.005,-0.013,0.115,-0.218,
2.8,0.263,0.298,-0.005,-0.002,0.102,-0.25,
2.85,0.263,0.302,-0.005,0.008,0.089,-0.265,
2.9,0.263,0.307,-0.004,0.011,0.077,-0.301,
2.95,0.263,0.31,-0.003,0.01,0.06,-0.347,
3.0,0.262,0.313,-0.003,0.01,0.042,-0.382,
3.05,0.262,0.314,-0.002,0.006,0.021,-0.398,
3.1,0.262,0.315,-0.002,-0.003,0.0,-0.386,
3.15,0.262,0.314,-0.003,-0.003,-0.017,-0.379,
3.2,0.262,0.313,-0.003,0.007,-0.037,-0.374,
3.25,0.262,0.31,-0.002,0.013,-0.056,-0.34,
3.3,0.262,0.307,-0.001,0.014,-0.072,-0.3,
3.35,0.262,0.303,-0.0,0.01,-0.086,-0.269,
3.4,0.262,0.299,-0.0,0.003,-0.099,-0.232,
3.45,0.262,0.293,-0.0,-0.001,-0.11,-0.181,
3.5,0.262,0.288,-0.001,0.004,-0.117,-0.123,
3.55,0.261,0.281,0.0,0.01,-0.121,-0.074,
3.6,0.262,0.275,0.001,0.005,-0.124,-0.028,
3.65,0.262,0.269,0.0,0.001,-0.125,0.029,
3.7,0.262,0.263,0.0,0.005,-0.121,0.084,
3.75,0.262,0.257,0.001,0.004,-0.116,0.132,
3.8,0.262,0.251,0.001,-0.003,-0.108,0.185,
3.85,0.262,0.246,0.0,-0.001,-0.098,0.244,
3.9,0.262,0.241,0.001,0.01,-0.084,0.295,
3.95,0.262,0.237,0.002,0.016,-0.068,0.331,
4.0,0.262,0.234,0.003,0.012,-0.05,0.353,
4.05,0.262,0.232,0.003,0.004,-0.032,0.364,
4.1,0.262,0.231,0.003,0.006,-0.013,0.373,
4.15,0.262,0.231,0.003,0.012,0.006,0.368,
4.2,0.263,0.232,0.004,0.008,0.023,0.361,
4.25,0.263,0.233,0.004,0.004,0.042,0.347,
4.3,0.263,0.236,0.005,0.0,0.059,0.312,
4.35,0.263,0.239,0.005,-0.011,0.074,0.266,
4.4,0.263,0.244,0.003,-0.017,0.085,0.224,
4.45,0.264,0.248,0.002,-0.011,0.095,0.196,
4.5,0.264,0.253,0.002,-0.002,0.106,0.15,
4.55,0.264,0.259,0.003,-0.003,0.112,0.076,
4.6,0.264,0.264,0.002,-0.007,0.112,0.022,
4.65,0.264,0.27,0.002,-0.009,0.113,-0.01,
4.7,0.264,0.276,0.001,-0.013,0.112,-0.052,
4.75,0.264,0.281,0.0,-0.015,0.108,-0.106,
4.8,0.264,0.287,-0.0,-0.016,0.101,-0.161,
4.85,0.264,0.291,-0.001,-0.016,0.091,-0.201,
4.9,0.264,0.296,-0.002,-0.019,0.081,-0.232,
4.95,0.264,0.3,-0.003,-0.031,0.068,-0.265,
5.0,0.264,0.303,-0.005,-0.037,0.054,-0.289,
5.05,0.263,0.305,-0.008,-0.021,0.039,-0.308,
5.1,0.263,0.307,-0.008,0.006,0.023,-0.316,
5.15,0.263,0.307,-0.006,0.023,0.008,-0.325,
5.2,0.262,0.307,-0.004,0.019,-0.009,-0.334,
5.25,0.262,0.306,-0.004,0.004,-0.027,-0.314,
