t,p1,p2,v1,a1,v2,a2,
0.05,0.2,0.298,0.023,0.018,-0.014,0.002,
0.1,0.201,0.297,0.024,0.001,-0.014,-0.025,
0.15,0.203,0.297,0.024,-0.025,-0.017,-0.052,
0.2,0.204,0.296,0.022,-0.045,-0.019,-0.07,
0.25,0.205,0.295,0.019,-0.056,-0.023,-0.086,
0.3,0.206,0.293,0.015,-0.05,-0.029,-0.078,
0.35,0.206,0.292,0.014,-0.053,-0.032,-0.052,
0.4,0.207,0.29,0.011,-0.071,-0.034,-0.027,
0.45,0.208,0.288,0.006,-0.07,-0.035,0.002,
0.5,0.208,0.287,0.003,-0.05,-0.034,0.032,
0.55,0.208,0.285,0.002,-0.039,-0.032,0.062,
0.6,0.208,0.283,0.0,-0.05,-0.028,0.088,
0.65,0.208,0.282,-0.003,-0.06,-0.022,0.092,
0.7,0.208,0.281,-0.007,-0.045,-0.018,0.073,
0.75,0.207,0.28,-0.008,-0.022,-0.015,0.06,
0.8,0.207,0.28,-0.009,-0.009,-0.012,0.045,
0.85,0.206,0.279,-0.009,-0.001,-0.011,0.036,
0.9,0.206,0.279,-0.009,0.017,-0.008,0.033,
0.95,0.205,0.279,-0.008,0.054,-0.007,0.031,
1.0,0.205,0.278,-0.004,0.109,-0.007,0.063,
1.05,0.205,0.277,0.001,0.201,-0.001,0.093,
1.1,0.205,0.278,0.014,0.324,0.004,0.092,
1.15,0.206,0.278,0.033,0.457,0.008,0.098,
1.2,0.208,0.279,0.061,0.568,0.013,0.11,
1.25,0.212,0.279,0.093,0.6,0.019,0.12,
1.3,0.217,0.28,0.124,0.558,0.026,0.104,
1.35,0.224,0.282,0.15,0.479,0.032,0.038,
1.4,0.232,0.284,0.171,0.4,0.03,-0.025,
1.45,0.241,0.285,0.194,0.259,0.028,-0.062,
1.5,0.252,0.287,0.202,0.034,0.025,-0.119,
1.55,0.262,0.288,0.194,-0.138,0.017,-0.193,
1.6,0.272,0.288,0.185,-0.253,0.005,-0.246,
1.65,0.281,0.288,0.168,-0.35,-0.01,-0.265,
1.7,0.289,0.287,0.148,-0.406,-0.023,-0.265,
1.75,0.296,0.286,0.127,-0.454,-0.036,-0.262,
1.8,0.301,0.284,0.103,-0.508,-0.049,-0.254,
1.85,0.306,0.281,0.076,-0.555,-0.061,-0.248,
1.9,0.309,0.278,0.047,-0.579,-0.074,-0.228,
1.95,0.311,0.274,0.017,-0.58,-0.085,-0.176,
2.0,0.311,0.269,-0.012,-0.567,-0.092,-0.113,
2.05,0.31,0.264,-0.04,-0.536,-0.097,-0.041,
2.1,0.307,0.259,-0.066,-0.489,-0.097,0.038,
2.15,0.303,0.255,-0.09,-0.425,-0.093,0.114,
2.2,0.298,0.25,-0.109,-0.34,-0.086,0.198,
2.25,0.292,0.246,-0.124,-0.233,-0.073,0.283,
2.3,0.285,0.242,-0.133,-0.119,-0.057,0.358,
2.35,0.278,0.24,-0.136,-0.01,-0.036,0.408,
2.4,0.271,0.239,-0.133,0.076,-0.016,0.45,
2.45,0.265,0.238,-0.127,0.137,0.008,0.494,
2.5,0.258,0.239,-0.12,0.211,0.035,0.514,
2.55,0.252,0.242,-0.107,0.29,0.062,0.496,
2.6,0.247,0.246,-0.089,0.322,0.085,0.452,
2.65,0.244,0.25,-0.072,0.314,0.107,0.405,
2.7,0.241,0.256,-0.061,0.373,0.127,0.326,
2.75,0.237,0.263,-0.039,0.5,0.14,0.222,
2.8,0.236,0.27,-0.002,0.471,0.149,0.119,
2.85,0.238,0.278,0.012,0.352,0.152,0.019,
2.9,0.237,0.286,0.028,0.294,0.15,-0.07,
2.95,0.241,0.293,0.046,0.163,0.145,-0.164,
3.0,0.243,0.301,0.04,0.117,0.135,-0.28,
3.05,0.243,0.307,0.052,0.163,0.117,-0.39,
3.1,0.248,0.312,0.065,0.064,0.095,-0.472,
3.15,0.251,0.317,0.06,-0.052,0.07,-0.539,
3.2,0.254,0.32,0.056,-0.102,0.039,-0.569,
3.25,0.257,0.321,0.048,-0.114,0.011,-0.574,
3.3,0.259,0.321,0.044,-0.113,-0.018,-0.578,
3.35,0.261,0.319,0.038,-0.134,-0.047,-0.563,
3.4,0.263,0.316,0.03,-0.15,-0.075,-0.526,
3.45,0.264,0.311,0.023,-0.16,-0.101,-0.466,
3.5,0.265,0.306,0.014,-0.16,-0.122,-0.394,
3.55,0.265,0.299,0.005,-0.129,-0.14,-0.323,
3.6,0.265,0.292,0.0,-0.087,-0.155,-0.24,
3.65,0.265,0.283,-0.003,-0.052,-0.166,-0.126,
3.7,0.265,0.275,-0.005,-0.02,-0.168,-0.005,
3.75,0.265,0.267,-0.005,0.011,-0.164,0.09,
3.8,0.264,0.258,-0.004,0.047,-0.159,0.188,
3.85,0.264,0.25,0.0,0.081,-0.147,0.311,
3.9,0.264,0.243,0.004,0.112,-0.128,0.434,
3.95,0.265,0.237,0.011,0.14,-0.102,0.52,
4.0,0.265,0.233,0.02,0.149,-0.074,0.566,
4.05,0.267,0.23,0.026,0.147,-0.045,0.598,
4.1,0.268,0.228,0.034,0.14,-0.014,0.621,
4.15,0.27,0.228,0.041,0.111,0.019,0.606,
4.2,0.272,0.23,0.046,0.071,0.048,0.551,
4.25,0.275,0.233,0.049,0.025,0.074,0.483,
4.3,0.277,0.238,0.049,-0.026,0.097,0.405,
4.35,0.28,0.243,0.046,-0.074,0.116,0.309,
4.4,0.282,0.25,0.041,-0.127,0.129,0.196,
4.45,0.284,0.256,0.033,-0.184,0.134,0.102,
4.5,0.285,0.263,0.023,-0.237,0.138,0.021,
4.55,0.286,0.27,0.009,-0.281,0.137,-0.066,
4.6,0.286,0.277,-0.006,-0.304,0.131,-0.139,
4.65,0.286,0.283,-0.021,-0.316,0.123,-0.216,
4.7,0.284,0.29,-0.038,-0.318,0.109,-0.291,
4.75,0.282,0.294,-0.055,-0.292,0.093,-0.337,
4.8,0.279,0.299,-0.068,-0.253,0.075,-0.379,
4.85,0.275,0.302,-0.079,-0.226,0.055,-0.411,
4.9,0.271,0.304,-0.09,-0.198,0.033,-0.417,
4.95,0.266,0.305,-0.1,-0.152,0.012,-0.404,
5.0,0.261,0.306,-0.106,-0.092,-0.008,-0.378,
5.05,0.255,0.305,-0.109,-0.038,-0.026,-0.339,
5.1,0.25,0.303,-0.109,0.0,-0.042,-0.3,
5.15,0.244,0.3,-0.108,0.037,-0.057,-0.251,
5.2,0.239,0.297,-0.11,0.154,-0.068,-0.179,
5.25,0.233,0.293,-0.098,0.357,-0.074,-0.115,
5.3,0.229,0.29,-0.069,0.47,-0.079,-0.055,
5.35,0.226,0.285,-0.045,0.47,-0.08,0.015,
5.4,0.224,0.281,-0.023,0.465,-0.077,0.076,
5.45,0.224,0.278,0.001,0.477,-0.072,0.128,
5.5,0.224,0.274,0.025,0.484,-0.064,0.173,
5.55,0.226,0.271,0.05,0.474,-0.054,0.195,
5.6,0.229,0.269,0.074,0.441,-0.044,0.206,
5.65,0.234,0.267,0.095,0.395,-0.034,0.22,
5.7,0.239,0.265,0.113,0.355,-0.022,0.223,
5.75,0.245,0.265,0.129,0.315,-0.011,0.216,
5.8,0.252,0.264,0.148,0.203,0.001,0.189,
5.85,0.261,0.265,0.154,0.014,0.01,0.122,
5.9,0.268,0.265,0.146,-0.117,0.012,0.062,
5.95,0.275,0.266,0.139,-0.179,0.015,0.029,
6.0,0.282,0.267,0.129,-0.25,0.015,0.002,
6.05,0.288,0.268,0.115,-0.333,0.015,-0.024,
6.1,0.293,0.269,0.095,-0.4,0.014,-0.06,
6.15,0.298,0.269,0.073,-0.436,0.008,-0.084,
6.2,0.301,0.269,0.05,-0.441,0.005,-0.101,
6.25,0.303,0.27,0.029,-0.45,-0.002,-0.114,
6.3,0.304,0.269,0.006,-0.479,-0.008,-0.093,
6.35,0.303,0.269,-0.02,-0.475,-0.011,-0.07,
6.4,0.301,0.268,-0.043,-0.433,-0.015,-0.055,
6.45,0.299,0.267,-0.063,-0.392,-0.017,-0.038,
6.5,0.295,0.266,-0.082,-0.357,-0.018,-0.026,
6.55,0.291,0.265,-0.099,-0.316,-0.02,0.01,
6.6,0.285,0.264,-0.115,-0.249,-0.019,0.072,
6.65,0.279,0.263,-0.126,-0.152,-0.013,0.125,
6.7,0.272,0.263,-0.13,-0.06,-0.004,0.148,
6.75,0.266,0.263,-0.13,0.004,0.002,0.161,
6.8,0.259,0.263,-0.129,0.065,0.011,0.181,
6.85,0.253,0.264,-0.128,0.203,0.021,0.198,
6.9,0.245,0.265,-0.108,0.32,0.031,0.205,
6.95,0.242,0.267,-0.086,0.264,0.042,0.194,
7.0,0.238,0.269,-0.085,0.266,0.051,0.17,
7.05,0.233,0.272,-0.068,0.417,0.059,0.141,
7.1,0.231,0.275,-0.039,0.5,0.065,0.108,
7.15,0.229,0.279,-0.013,0.484,0.071,0.065,
7.2,0.229,0.282,0.011,0.42,0.072,0.008,
7.25,0.231,0.286,0.029,0.355,0.071,-0.048,
7.3,0.232,0.29,0.045,0.326,0.067,-0.103,
7.35,0.235,0.293,0.061,0.296,0.061,-0.157,
7.4,0.239,0.296,0.075,0.247,0.052,-0.213,
7.45,0.242,0.298,0.091,0.12,0.04,-0.268,
7.5,0.249,0.3,0.087,0.005,0.024,-0.311,
7.55,0.251,0.301,0.08,0.066,0.008,-0.344,
7.6,0.255,0.301,0.097,0.057,-0.011,-0.362,
7.65,0.262,0.3,0.096,-0.119,-0.03,-0.339,
7.7,0.266,0.298,0.08,-0.214,-0.045,-0.307,
7.75,0.269,0.295,0.069,-0.215,-0.059,-0.293,
7.8,0.273,0.292,0.06,-0.217,-0.075,-0.264,
7.85,0.276,0.288,0.048,-0.222,-0.087,-0.219,
7.9,0.277,0.283,0.037,-0.217,-0.096,-0.179,
7.95,0.279,0.278,0.027,-0.211,-0.105,-0.129,
8.0,0.28,0.273,0.016,-0.205,-0.111,-0.051,
8.05,0.281,0.267,0.006,-0.188,-0.11,0.032,
8.1,0.281,0.261,-0.003,-0.165,-0.107,0.105,
8.15,0.28,0.256,-0.011,-0.138,-0.1,0.173,
8.2,0.28,0.251,-0.017,-0.108,-0.089,0.234,
8.25,0.279,0.247,-0.022,-0.076,-0.077,0.302,
8.3,0.277,0.243,-0.025,-0.035,-0.059,0.375,
8.35,0.276,0.241,-0.025,-0.006,-0.038,0.419,
8.4,0.275,0.24,-0.025,0.005,-0.015,0.422,
8.45,0.274,0.239,-0.025,0.03,0.004,0.421,
8.5,0.272,0.24,-0.022,0.057,0.026,0.43,
8.55,0.271,0.242,-0.018,0.056,0.049,0.405,
8.6,0.27,0.245,-0.016,0.042,0.068,0.344,
8.65,0.27,0.249,-0.014,0.028,0.083,0.29,
8.7,0.269,0.253,-0.013,0.021,0.097,0.241,
8.75,0.268,0.259,-0.012,0.015,0.108,0.173,
8.8,0.268,0.264,-0.011,-0.001,0.115,0.089,
8.85,0.267,0.27,-0.012,-0.019,0.117,0.003,
8.9,0.267,0.276,-0.014,-0.033,0.115,-0.077,
8.95,0.266,0.282,-0.015,-0.053,0.109,-0.148,
9.0,0.265,0.287,-0.019,-0.075,0.099,-0.203,
9.05,0.264,0.292,-0.023,-0.099,0.089,-0.259,
9.1,0.263,0.296,-0.028,-0.119,0.073,-0.308,
9.15,0.261,0.299,-0.035,-0.121,0.057,-0.334,
9.2,0.26,0.302,-0.046,-0.028,0.039,-0.349,
9.25,0.256,0.303,-0.039,0.083,0.022,-0.361,
9.3,0.256,0.304,-0.028,0.029,0.003,-0.367,
9.35,0.254,0.304,-0.035,-0.055,-0.016,-0.352,
9.4,0.252,0.302,-0.039,-0.051,-0.033,-0.323,
9.45,0.25,0.3,-0.041,-0.012,-0.049,-0.283,
9.5,0.248,0.297,-0.044,0.102,-0.062,-0.228,
9.55,0.245,0.294,-0.029,0.191,-0.071,-0.174,
9.6,0.246,0.29,-0.02,0.201,-0.079,-0.129,
9.65,0.243,0.286,-0.01,0.206,-0.084,-0.079,
9.7,0.245,0.282,0.001,0.193,-0.087,-0.017,
9.75,0.243,0.277,0.01,0.194,-0.086,0.039,
9.8,0.246,0.273,0.019,0.221,-0.083,0.087,
9.85,0.245,0.269,0.026,0.319,-0.077,0.14,
9.9,0.247,0.265,0.057,0.31,-0.069,0.185,
9.95,0.252,0.262,0.068,0.138,-0.059,0.224,
10.0,0.255,0.259,0.06,0.134,-0.046,0.253,
10.05,0.256,0.257,0.076,0.211,-0.032,0.257,
10.1,0.262,0.256,0.092,0.121,-0.02,0.252,
10.15,0.267,0.255,0.089,0.0,-0.007,0.247,
10.2,0.271,0.255,0.087,-0.057,0.006,0.225,
10.25,0.275,0.256,0.083,-0.099,0.016,0.197,
10.3,0.279,0.257,0.078,-0.142,0.026,0.159,
10.35,0.283,0.259,0.069,-0.193,0.032,0.114,
10.4,0.286,0.26,0.059,-0.246,0.037,0.075,
10.45,0.289,0.262,0.044,-0.288,0.039,0.043,
10.5,0.291,0.264,0.029,-0.315,0.041,0.016,
10.55,0.292,0.267,0.013,-0.337,0.041,-0.018,
10.6,0.292,0.268,-0.005,-0.35,0.039,-0.044,
10.65,0.292,0.27,-0.023,-0.342,0.037,-0.067,
10.7,0.29,0.272,-0.04,-0.325,0.033,-0.096,
10.75,0.288,0.274,-0.056,-0.3,0.026,-0.102,
10.8,0.284,0.275,-0.071,-0.258,0.021,-0.089,
10.85,0.28,0.276,-0.082,-0.21,0.018,-0.094,
10.9,0.276,0.277,-0.091,-0.162,0.012,-0.091,
10.95,0.271,0.277,-0.098,-0.119,0.007,-0.058,
11.0,0.266,0.277,-0.103,-0.091,0.007,-0.041,
11.05,0.261,0.278,-0.106,-0.075,0.004,-0.035,
11.1,0.256,0.277,-0.114,0.023,0.002,-0.014,
11.15,0.249,0.278,-0.109,0.211,0.002,0.008,
11.2,0.244,0.278,-0.088,0.312,0.004,0.023,
11.25,0.24,0.278,-0.073,0.319,0.006,0.021,
11.3,0.237,0.278,-0.057,0.327,0.006,0.024,
11.35,0.234,0.279,-0.041,0.342,0.007,0.047,
11.4,0.233,0.279,-0.023,0.355,0.011,0.064,
11.45,0.232,0.28,-0.005,0.361,0.015,0.045,
11.5,0.232,0.281,0.014,0.36,0.016,0.014,
11.55,0.234,0.281,0.032,0.344,0.016,-0.012,
11.6,0.236,0.282,0.048,0.324,0.014,-0.03,
11.65,0.239,0.283,0.064,0.312,0.012,-0.038,
11.7,0.242,0.283,0.078,0.31,0.011,-0.059,
11.75,0.246,0.284,0.099,0.221,0.007,-0.093,
11.8,0.253,0.284,0.106,0.034,0.001,-0.119,
11.85,0.257,0.284,0.098,-0.081,-0.006,-0.121,
11.9,0.262,0.284,0.093,-0.107,-0.011,-0.114,
11.95,0.267,0.283,0.088,-0.117,-0.016,-0.122,
12.0,0.271,0.282,0.083,-0.145,-0.023,-0.146,
12.05,0.275,0.281,0.074,-0.194,-0.032,-0.147,
12.1,0.279,0.279,0.063,-0.24,-0.039,-0.123,
12.15,0.281,0.277,0.049,-0.271,-0.044,-0.11,
12.2,0.283,0.274,0.035,-0.287,-0.05,-0.097,
12.25,0.285,0.272,0.02,-0.281,-0.055,-0.062,
12.3,0.285,0.269,0.006,-0.257,-0.056,-0.018,
12.35,0.285,0.266,-0.005,-0.236,-0.056,0.018,
12.4,0.285,0.263,-0.017,-0.221,-0.054,0.057,
12.45,0.284,0.261,-0.028,-0.196,-0.051,0.105,
12.5,0.282,0.258,-0.037,-0.164,-0.045,0.167,
12.55,0.28,0.256,-0.044,-0.131,-0.033,0.212,
12.6,0.277,0.255,-0.05,-0.094,-0.022,0.218,
12.65,0.275,0.254,-0.054,-0.052,-0.011,0.225,
12.7,0.272,0.253,-0.056,-0.01,-0.0,0.248,
12.75,0.269,0.254,-0.055,0.024,0.014,0.261,
12.8,0.267,0.255,-0.053,0.052,0.028,0.244,
12.85,0.264,0.257,-0.05,0.081,0.039,0.215,
12.9,0.261,0.259,-0.044,0.094,0.048,0.205,
12.95,0.259,0.261,-0.039,0.085,0.059,0.193,
13.0,0.257,0.265,-0.036,0.086,0.069,0.154,
13.05,0.256,0.268,-0.031,0.085,0.075,0.103,
13.1,0.255,0.272,-0.03,0.137,0.079,0.048,
13.15,0.252,0.276,-0.016,0.176,0.08,-0.009,
13.2,0.254,0.28,-0.009,0.149,0.078,-0.063,
13.25,0.251,0.284,-0.007,0.208,0.074,-0.122,
13.3,0.252,0.288,0.016,0.191,0.066,-0.176,
13.35,0.254,0.291,0.021,0.03,0.055,-0.21,
13.4,0.254,0.293,0.014,-0.051,0.044,-0.233,
13.45,0.255,0.295,0.011,-0.043,0.032,-0.261,
13.5,0.255,0.297,0.009,-0.01,0.019,-0.297,
13.55,0.256,0.297,0.011,0.003,0.002,-0.32,
13.6,0.257,0.297,0.011,-0.025,-0.015,-0.312,
13.65,0.257,0.296,0.008,-0.041,-0.03,-0.283,
13.7,0.257,0.294,0.005,-0.021,-0.044,-0.24,
13.75,0.257,0.291,0.006,-0.003,-0.054,-0.193,
13.8,0.258,0.288,0.006,0.008,-0.063,-0.143,
13.85,0.258,0.285,0.006,0.027,-0.068,-0.108,
13.9,0.258,0.282,0.008,0.043,-0.073,-0.084,
13.95,0.259,0.277,0.011,0.052,-0.077,-0.04,
14.0,0.259,0.274,0.014,0.057,-0.078,0.017,
14.05,0.26,0.27,0.017,0.055,-0.076,0.076,
14.1,0.261,0.266,0.019,0.058,-0.07,0.123,
14.15,0.262,0.263,0.022,0.071,-0.062,0.152,
14.2,0.263,0.26,0.027,0.074,-0.055,0.185,
14.25,0.265,0.257,0.03,0.057,-0.044,0.226,
14.3,0.266,0.255,0.032,0.04,-0.031,0.239,
14.35,0.268,0.254,0.034,0.026,-0.019,0.232,
14.4,0.27,0.253,0.035,0.017,-0.009,0.241,
14.45,0.271,0.253,0.036,0.004,0.004,0.256,
14.5,0.273,0.254,0.036,-0.029,0.018,0.241,
14.55,0.275,0.255,0.033,-0.068,0.029,0.208,
14.6,0.277,0.257,0.028,-0.091,0.039,0.178,
14.65,0.278,0.259,0.024,-0.106,0.047,0.143,
14.7,0.279,0.261,0.019,-0.137,0.053,0.108,
14.75,0.28,0.264,0.01,-0.168,0.058,0.059,
14.8,0.28,0.267,0.001,-0.18,0.06,-0.004,
14.85,0.28,0.27,-0.008,-0.192,0.058,-0.056,
14.9,0.28,0.273,-0.018,-0.205,0.053,-0.084,
14.95,0.278,0.276,-0.029,-0.196,0.048,-0.098,
15.0,0.276,0.278,-0.038,-0.17,0.044,-0.116,
15.05,0.274,0.28,-0.046,-0.152,0.038,-0.142,
15.1,0.272,0.282,-0.054,-0.131,0.028,-0.147,
15.15,0.269,0.283,-0.06,-0.093,0.022,-0.141,
15.2,0.266,0.284,-0.062,-0.071,0.016,-0.16,
15.25,0.263,0.285,-0.066,-0.061,0.005,-0.16,
15.3,0.259,0.285,-0.069,-0.027,-0.003,-0.116,
15.35,0.256,0.284,-0.074,0.097,-0.006,-0.08,
15.4,0.251,0.284,-0.059,0.202,-0.009,-0.066,
15.45,0.25,0.283,-0.043,0.117,-0.013,-0.047,
15.5,0.248,0.282,-0.047,0.023,-0.013,-0.036,
15.55,0.245,0.282,-0.051,0.104,-0.016,-0.038,
15.6,0.242,0.281,-0.041,0.281,-0.019,-0.015,
15.65,0.241,0.28,-0.017,0.381,-0.018,0.018,
15.7,0.24,0.279,0.002,0.378,-0.016,0.03,
15.75,0.241,0.279,0.019,0.362,-0.014,0.018,
15.8,0.242,0.278,0.041,0.29,-0.014,0.013,
15.85,0.246,0.277,0.052,0.158,-0.013,0.026,
15.9,0.248,0.276,0.052,0.101,-0.012,0.037,
15.95,0.25,0.276,0.059,0.112,-0.009,0.037,
16.0,0.254,0.276,0.065,0.101,-0.007,0.026,
16.05,0.257,0.275,0.07,0.071,-0.007,0.013,
16.1,0.261,0.275,0.073,0.029,-0.006,-0.004,
16.15,0.264,0.275,0.073,-0.019,-0.006,-0.029,
16.2,0.268,0.274,0.071,-0.067,-0.01,-0.038,
16.25,0.272,0.274,0.066,-0.116,-0.011,-0.029,
16.3,0.275,0.273,0.059,-0.16,-0.012,-0.025,
16.35,0.278,0.272,0.05,-0.202,-0.013,-0.035,
16.4,0.28,0.272,0.038,-0.225,-0.016,-0.046,
16.45,0.281,0.271,0.027,-0.232,-0.018,-0.043,
16.5,0.283,0.27,0.015,-0.228,-0.02,-0.029,
16.55,0.283,0.269,0.004,-0.218,-0.022,-0.01,
16.6,0.283,0.268,-0.006,-0.22,-0.021,0.004,
16.65,0.282,0.267,-0.018,-0.215,-0.021,0.02,
16.7,0.281,0.266,-0.029,-0.186,-0.019,0.039,
16.75,0.279,0.265,-0.037,-0.152,-0.017,0.057,
16.8,0.277,0.264,-0.044,-0.13,-0.015,0.092,
16.85,0.275,0.263,-0.05,-0.104,-0.008,0.117,
16.9,0.272,0.263,-0.055,-0.06,-0.001,0.116,
16.95,0.269,0.263,-0.056,-0.018,0.003,0.126,
17.0,0.267,0.263,-0.056,0.004,0.011,0.145,
