t,p1,p2,v1,a1,v2,a2,
0.05,0.246,0.272,-0.005,0.116,0.123,-0.007,
0.1,0.245,0.279,0.002,0.137,0.123,-0.053,
0.15,0.246,0.285,0.01,0.132,0.119,-0.125,
0.2,0.247,0.291,0.016,0.11,0.111,-0.2,
0.25,0.248,0.296,0.021,0.1,0.099,-0.264,
0.3,0.249,0.301,0.026,0.101,0.085,-0.331,
0.35,0.25,0.305,0.031,0.091,0.065,-0.386,
0.4,0.251,0.307,0.039,0.014,0.045,-0.414,
0.45,0.255,0.309,0.036,-0.121,0.024,-0.44,
0.5,0.256,0.31,0.017,-0.102,0.0,-0.452,
0.55,0.255,0.309,0.021,0.005,-0.023,-0.436,
0.6,0.258,0.307,0.028,-0.047,-0.043,-0.413,
0.65,0.259,0.305,0.017,-0.118,-0.064,-0.381,
0.7,0.259,0.301,0.011,-0.101,-0.082,-0.331,
0.75,0.26,0.297,0.007,-0.067,-0.097,-0.274,
0.8,0.26,0.291,0.004,-0.034,-0.11,-0.21,
0.85,0.26,0.285,0.004,-0.009,-0.119,-0.129,
0.9,0.26,0.279,0.004,0.013,-0.123,-0.046,
0.95,0.261,0.273,0.005,0.039,-0.124,0.032,
1.0,0.261,0.267,0.008,0.055,-0.12,0.12,
1.05,0.261,0.261,0.012,0.047,-0.111,0.19,
1.1,0.262,0.256,0.013,0.038,-0.101,0.254,
1.15,0.263,0.25,0.01,0.127,-0.086,0.333,
1.2,0.262,0.247,0.025,0.225,-0.067,0.389,
1.25,0.265,0.244,0.042,0.154,-0.046,0.409,
1.3,0.267,0.242,0.042,0.046,-0.025,0.42,
1.35,0.269,0.241,0.042,0.008,-0.005,0.442,
1.4,0.271,0.241,0.041,0.008,0.02,0.441,
1.45,0.273,0.243,0.043,-0.001,0.042,0.384,
1.5,0.276,0.246,0.043,-0.045,0.058,0.317,
1.55,0.278,0.249,0.039,-0.091,0.073,0.269,
1.6,0.28,0.253,0.033,-0.125,0.087,0.194,
1.65,0.281,0.258,0.026,-0.161,0.093,0.104,
1.7,0.282,0.263,0.017,-0.208,0.096,0.039,
1.75,0.283,0.268,0.006,-0.249,0.097,-0.02,
1.8,0.283,0.273,-0.009,-0.257,0.094,-0.081,
1.85,0.282,0.277,-0.022,-0.237,0.088,-0.136,
1.9,0.281,0.281,-0.032,-0.22,0.079,-0.17,
1.95,0.279,0.285,-0.043,-0.211,0.071,-0.201,
2.0,0.276,0.289,-0.053,-0.205,0.06,-0.243,
2.05,0.273,0.291,-0.064,-0.185,0.046,-0.278,
2.1,0.27,0.293,-0.073,-0.148,0.032,-0.297,
2.15,0.266,0.295,-0.079,-0.105,0.016,-0.292,
2.2,0.262,0.295,-0.083,-0.067,0.001,-0.255,
2.25,0.258,0.294,-0.086,-0.023,-0.01,-0.217,
2.3,0.253,0.294,-0.087,0.046,-0.019,-0.206,
2.35,0.249,0.293,-0.081,0.103,-0.031,-0.184,
2.4,0.245,0.291,-0.074,0.126,-0.04,-0.124,
2.45,0.241,0.288,-0.067,0.134,-0.042,-0.078,
2.5,0.239,0.286,-0.065,0.218,-0.047,-0.048,
2.55,0.234,0.284,-0.05,0.375,-0.048,-0.014,
2.6,0.233,0.282,-0.022,0.435,-0.048,0.019,
2.65,0.233,0.279,-0.001,0.4,-0.047,0.068,
2.7,0.233,0.277,0.017,0.374,-0.04,0.101,
2.75,0.234,0.275,0.035,0.366,-0.035,0.104,
2.8,0.236,0.273,0.053,0.365,-0.03,0.112,
2.85,0.239,0.272,0.07,0.375,-0.025,0.131,
2.9,0.243,0.271,0.095,0.302,-0.017,0.142,
2.95,0.25,0.27,0.106,0.128,-0.009,0.122,
3.0,0.254,0.27,0.104,0.016,-0.004,0.086,
3.05,0.26,0.27,0.104,-0.018,-0.001,0.061,
3.1,0.265,0.27,0.101,-0.031,0.001,0.05,
3.15,0.27,0.27,0.101,-0.062,0.004,0.037,
3.2,0.275,0.27,0.098,-0.15,0.006,-0.002,
3.25,0.28,0.271,0.086,-0.229,0.004,-0.038,
3.3,0.284,0.271,0.073,-0.265,0.002,-0.06,
3.35,0.287,0.271,0.06,-0.297,-0.003,-0.068,
3.4,0.29,0.27,0.043,-0.321,-0.006,-0.052,
3.45,0.291,0.27,0.026,-0.324,-0.007,-0.042,
3.5,0.292,0.27,0.01,-0.322,-0.01,-0.041,
3.55,0.292,0.269,-0.005,-0.325,-0.011,-0.046,
3.6,0.292,0.269,-0.022,-0.333,-0.014,-0.048,
3.65,0.29,0.268,-0.04,-0.318,-0.017,-0.023,
3.7,0.288,0.267,-0.055,-0.271,-0.018,0.029,
3.75,0.285,0.266,-0.067,-0.212,-0.013,0.062,
3.8,0.281,0.266,-0.076,-0.157,-0.01,0.069,
3.85,0.277,0.265,-0.082,-0.113,-0.007,0.086,
3.9,0.273,0.265,-0.088,-0.066,-0.001,0.099,
3.95,0.268,0.265,-0.09,-0.008,0.002,0.119,
4.0,0.264,0.265,-0.088,0.049,0.01,0.144,
4.05,0.259,0.266,-0.085,0.1,0.018,0.148,
4.1,0.255,0.267,-0.078,0.134,0.024,0.155,
4.15,0.251,0.268,-0.07,0.139,0.034,0.148,
4.2,0.248,0.27,-0.063,0.131,0.04,0.122,
4.25,0.245,0.272,-0.061,0.208,0.045,0.113,
4.3,0.241,0.275,-0.046,0.356,0.052,0.088,
4.35,0.24,0.278,-0.02,0.401,0.055,0.035,
4.4,0.24,0.28,-0.001,0.349,0.055,-0.007,
4.45,0.24,0.283,0.018,0.233,0.055,-0.05,
4.5,0.243,0.286,0.02,0.156,0.05,-0.089,
4.55,0.242,0.288,0.024,0.251,0.045,-0.121,
4.6,0.244,0.291,0.051,0.252,0.038,-0.16,
4.65,0.248,0.292,0.059,0.085,0.029,-0.194,
4.7,0.25,0.293,0.053,0.005,0.019,-0.227,
4.75,0.253,0.294,0.054,0.014,0.006,-0.249,
4.8,0.256,0.294,0.057,0.008,-0.006,-0.26,
4.85,0.259,0.294,0.057,-0.026,-0.02,-0.264,
4.9,0.261,0.292,0.053,-0.056,-0.034,-0.247,
4.95,0.264,0.29,0.05,-0.069,-0.046,-0.216,
5.0,0.266,0.287,0.047,-0.089,-0.056,-0.177,
5.05,0.269,0.285,0.042,-0.117,-0.063,-0.142,
5.1,0.271,0.281,0.035,-0.132,-0.069,-0.111,
5.15,0.272,0.277,0.028,-0.128,-0.074,-0.085,
5.2,0.273,0.274,0.021,-0.115,-0.078,-0.051,
5.25,0.274,0.27,0.017,-0.108,-0.08,0.009,
5.3,0.275,0.265,0.011,-0.112,-0.078,0.083,
5.35,0.275,0.262,0.005,-0.102,-0.071,0.136,
5.4,0.275,0.258,0.0,-0.079,-0.063,0.163,
5.45,0.275,0.255,-0.003,-0.062,-0.055,0.195,
5.5,0.275,0.253,-0.005,-0.055,-0.044,0.225,
5.55,0.275,0.251,-0.008,-0.056,-0.033,0.258,
5.6,0.274,0.249,-0.012,-0.04,-0.019,0.299,
5.65,0.274,0.249,-0.013,-0.011,-0.001,0.306,
5.7,0.273,0.249,-0.012,-0.008,0.013,0.293,
5.75,0.273,0.25,-0.013,-0.02,0.028,0.285,
5.8,0.272,0.252,-0.014,-0.018,0.042,0.254,
5.85,0.271,0.255,-0.015,-0.009,0.053,0.216,
5.9,0.27,0.257,-0.015,-0.011,0.064,0.177,
5.95,0.27,0.261,-0.016,-0.022,0.072,0.124,
6.0,0.269,0.265,-0.017,-0.028,0.076,0.075,
6.05,0.268,0.269,-0.019,-0.028,0.08,0.018,
6.1,0.267,0.273,-0.02,-0.023,0.079,-0.049,
6.15,0.266,0.277,-0.021,-0.023,0.073,-0.086,
6.2,0.265,0.28,-0.022,-0.028,0.069,-0.108,
6.25,0.264,0.284,-0.023,-0.035,0.063,-0.14,
6.3,0.263,0.287,-0.026,-0.03,0.056,-0.177,
6.35,0.261,0.289,-0.028,-0.007,0.046,-0.22,
6.4,0.26,0.291,-0.026,-0.002,0.032,-0.236,
6.45,0.258,0.292,-0.027,-0.007,0.02,-0.22,
6.5,0.257,0.293,-0.028,0.005,0.011,-0.22,
6.55,0.256,0.294,-0.026,0.015,-0.001,-0.228,
6.6,0.254,0.293,-0.026,0.012,-0.013,-0.214,
6.65,0.253,0.292,-0.025,0.019,-0.022,-0.204,
6.7,0.252,0.291,-0.024,0.039,-0.034,-0.178,
6.75,0.251,0.289,-0.026,0.134,-0.041,-0.136,
6.8,0.248,0.287,-0.011,0.23,-0.047,-0.103,
6.85,0.25,0.284,0.006,0.173,-0.052,-0.057,
6.9,0.25,0.281,0.006,0.105,-0.052,-0.021,
6.95,0.25,0.279,0.011,0.112,-0.052,-0.013,
7.0,0.251,0.276,0.018,0.133,-0.054,0.006,
7.05,0.252,0.274,0.025,0.146,-0.053,0.047,
7.1,0.253,0.271,0.033,0.142,-0.049,0.09,
7.15,0.255,0.269,0.04,0.127,-0.043,0.117,
7.2,0.257,0.267,0.046,0.1,-0.037,0.135,
7.25,0.26,0.265,0.05,0.074,-0.03,0.155,
7.3,0.262,0.263,0.054,0.035,-0.021,0.16,
7.35,0.265,0.263,0.053,0.001,-0.013,0.149,
7.4,0.268,0.262,0.053,-0.009,-0.006,0.143,
7.45,0.27,0.262,0.053,-0.035,0.001,0.148,
7.5,0.273,0.262,0.051,-0.087,0.009,0.142,
7.55,0.276,0.263,0.044,-0.129,0.016,0.107,
7.6,0.277,0.264,0.037,-0.155,0.02,0.063,
7.65,0.28,0.265,0.029,-0.187,0.021,0.042,
7.7,0.281,0.266,0.017,-0.2,0.024,0.03,
7.75,0.281,0.267,0.008,-0.199,0.025,0.01,
7.8,0.281,0.269,-0.002,-0.212,0.025,-0.013,
7.85,0.281,0.27,-0.014,-0.209,0.023,-0.026,
