t,p1,p2,v1,a1,v2,a2,
0.05,0.259,0.27,-0.179,0.052,-0.001,-0.013,
0.1,0.25,0.269,-0.176,0.101,-0.001,0.003,
0.15,0.241,0.27,-0.169,0.162,0.0,0.002,
0.2,0.233,0.27,-0.159,0.22,-0.0,-0.008,
0.25,0.225,0.27,-0.147,0.278,-0.001,-0.004,
0.3,0.218,0.269,-0.131,0.333,-0.001,0.008,
0.35,0.212,0.269,-0.118,0.448,0.0,0.015,
0.4,0.205,0.269,-0.086,0.546,0.001,0.008,
0.45,0.203,0.27,-0.053,0.478,0.001,-0.006,
0.5,0.201,0.27,-0.042,0.478,0.0,-0.013,
0.55,0.198,0.27,-0.011,0.573,-0.001,-0.005,
0.6,0.2,0.269,0.019,0.592,-0.0,0.003,
0.65,0.2,0.27,0.049,0.582,-0.0,0.004,
0.7,0.205,0.269,0.082,0.488,-0.0,0.008,
0.75,0.209,0.269,0.098,0.389,0.001,0.001,
0.8,0.214,0.27,0.117,0.358,0.0,-0.011,
0.85,0.221,0.269,0.134,0.323,-0.001,0.003,
0.9,0.228,0.269,0.15,0.276,0.001,0.013,
0.95,0.236,0.27,0.163,0.207,0.001,0.004,
1.0,0.244,0.27,0.171,0.125,0.001,-0.001,
1.05,0.253,0.27,0.175,0.044,0.001,-0.005,
1.1,0.262,0.27,0.175,-0.03,0.0,-0.006,
1.15,0.271,0.27,0.172,-0.098,-0.0,0.006,
1.2,0.279,0.27,0.165,-0.163,0.001,0.01,
1.25,0.287,0.27,0.156,-0.235,0.001,-0.001,
1.3,0.295,0.27,0.142,-0.31,0.001,-0.013,
1.35,0.302,0.27,0.124,-0.37,-0.001,-0.011,
1.4,0.307,0.27,0.104,-0.411,-0.001,0.003,
1.45,0.312,0.27,0.083,-0.44,0.0,0.003,
1.5,0.316,0.27,0.061,-0.483,-0.0,-0.006,
1.55,0.318,0.27,0.035,-0.528,-0.001,-0.004,
1.6,0.319,0.27,0.006,-0.539,-0.0,-0.002,
1.65,0.319,0.27,-0.02,-0.523,-0.001,-0.005,
1.7,0.317,0.27,-0.046,-0.502,-0.002,0.005,
1.75,0.314,0.269,-0.07,-0.475,-0.0,0.015,
1.8,0.31,0.27,-0.094,-0.431,0.001,0.005,
1.85,0.305,0.27,-0.115,-0.366,0.0,-0.003,
1.9,0.299,0.27,-0.13,-0.311,-0.0,-0.003,
1.95,0.292,0.27,-0.145,-0.264,-0.001,0.005,
2.0,0.284,0.269,-0.157,-0.206,0.001,0.008,
2.05,0.276,0.27,-0.166,-0.142,0.001,-0.004,
2.1,0.267,0.27,-0.172,-0.073,-0.0,-0.003,
2.15,0.258,0.27,-0.174,0.011,0.001,-0.002,
2.2,0.25,0.27,-0.17,0.092,-0.0,-0.005,
2.25,0.241,0.27,-0.164,0.158,-0.001,0.005,
2.3,0.233,0.27,-0.155,0.223,0.0,0.015,
2.35,0.226,0.27,-0.142,0.296,0.002,0.004,
2.4,0.219,0.27,-0.125,0.368,0.001,-0.016,
2.45,0.213,0.27,-0.104,0.417,-0.001,-0.017,
2.5,0.208,0.27,-0.082,0.437,-0.001,-0.011,
2.55,0.205,0.27,-0.06,0.449,-0.002,0.001,
2.6,0.202,0.269,-0.037,0.468,-0.001,0.011,
2.65,0.201,0.27,-0.018,0.552,-0.0,0.007,
2.7,0.2,0.269,0.018,0.621,0.0,0.0,
2.75,0.203,0.27,0.053,0.532,0.0,-0.011,
2.8,0.206,0.27,0.071,0.434,-0.002,-0.006,
2.85,0.21,0.269,0.093,0.402,-0.001,0.012,
2.9,0.215,0.269,0.112,0.368,0.0,0.011,
2.95,0.221,0.27,0.13,0.319,0.0,0.002,
3.0,0.228,0.269,0.145,0.256,0.0,-0.0,
3.05,0.236,0.27,0.156,0.192,0.001,-0.007,
3.1,0.244,0.27,0.164,0.13,-0.001,-0.002,
3.15,0.252,0.269,0.169,0.073,-0.001,0.017,
3.2,0.261,0.269,0.173,-0.013,0.002,0.021,
