t,p1,p2,v1,a1,v2,a2,
0.05,0.26,0.315,-0.001,0.018,0.105,-0.334,
0.1,0.26,0.32,-0.0,0.012,0.087,-0.389,
0.15,0.26,0.324,-0.0,0.006,0.066,-0.445,
0.2,0.26,0.327,0.0,0.002,0.042,-0.501,
0.25,0.26,0.328,0.0,0.0,0.015,-0.526,
0.3,0.26,0.328,0.0,0.0,-0.012,-0.517,
0.35,0.26,0.327,0.0,0.0,-0.037,-0.495,
0.4,0.26,0.324,0.0,0.001,-0.062,-0.459,
0.45,0.26,0.321,0.0,0.003,-0.083,-0.426,
0.5,0.26,0.316,0.0,0.005,-0.105,-0.385,
0.55,0.26,0.31,0.001,0.001,-0.122,-0.328,
0.6,0.26,0.304,0.0,-0.003,-0.137,-0.267,
0.65,0.26,0.296,0.0,-0.001,-0.149,-0.203,
0.7,0.26,0.288,0.001,-0.005,-0.157,-0.151,
0.75,0.26,0.28,-0.001,-0.004,-0.165,-0.085,
0.8,0.26,0.272,0.0,0.001,-0.167,0.008,
0.85,0.26,0.263,0.0,-0.008,-0.163,0.083,
0.9,0.26,0.255,-0.001,-0.011,-0.158,0.144,
0.95,0.26,0.247,-0.001,-0.002,-0.149,0.209,
1.0,0.26,0.24,-0.001,0.008,-0.137,0.267,
1.05,0.26,0.234,-0.0,0.009,-0.122,0.322,
1.1,0.26,0.228,0.0,-0.003,-0.105,0.378,
1.15,0.26,0.223,-0.001,-0.01,-0.084,0.424,
1.2,0.26,0.22,-0.001,-0.003,-0.062,0.462,
1.25,0.26,0.217,-0.001,-0.001,-0.038,0.493,
1.3,0.26,0.216,-0.001,-0.0,-0.012,0.507,
1.35,0.26,0.216,-0.001,0.007,0.013,0.509,
1.4,0.26,0.217,-0.0,0.008,0.04,0.476,
1.45,0.26,0.22,-0.0,0.005,0.063,0.407,
1.5,0.26,0.223,0.0,0.002,0.08,0.35,
1.55,0.26,0.228,0.0,0.002,0.096,0.321,
1.6,0.26,0.233,0.0,0.003,0.112,0.298,
1.65,0.26,0.239,0.0,0.004,0.127,0.261,
1.7,0.26,0.246,0.001,-0.001,0.139,0.199,
1.75,0.26,0.253,0.0,-0.005,0.149,0.1,
1.8,0.26,0.261,-0.0,0.005,0.149,0.003,
1.85,0.26,0.268,0.001,0.008,0.146,-0.049,
1.9,0.26,0.276,0.001,-0.003,0.144,-0.085,
1.95,0.26,0.283,0.0,-0.009,0.139,-0.138,
2.0,0.26,0.29,-0.0,-0.004,0.131,-0.213,
2.05,0.26,0.296,-0.001,0.01,0.117,-0.28,
