t,p1,p2,v1,a1,v2,a2,
0.05,0.334,0.209,-0.336,-0.428,0.332,0.257,
0.1,0.317,0.226,-0.36,-0.453,0.347,0.213,
0.15,0.298,0.244,-0.389,-0.348,0.357,0.112,
0.2,0.277,0.262,-0.401,-0.116,0.359,-0.019,
0.25,0.257,0.28,-0.397,0.096,0.355,-0.155,
0.3,0.238,0.298,-0.391,0.359,0.344,-0.288,
0.35,0.218,0.315,-0.377,0.92,0.326,-0.424,
0.4,0.198,0.331,-0.313,1.672,0.301,-0.544,
0.45,0.184,0.345,-0.191,2.013,0.271,-0.646,
0.5,0.179,0.358,-0.073,1.591,0.236,-0.747,
0.55,0.18,0.369,-0.016,0.82,0.196,-0.837,
0.6,0.18,0.378,-0.007,0.3,0.151,-0.91,
0.65,0.179,0.384,-0.003,0.11,0.104,-0.962,
0.7,0.179,0.388,0.002,0.022,0.055,-0.998,
0.75,0.18,0.39,0.001,-0.043,0.002,-0.997,
0.8,0.18,0.388,-0.008,-0.002,-0.046,-0.969,
0.85,0.178,0.385,-0.003,0.101,-0.094,-0.947,
0.9,0.179,0.379,0.008,0.138,-0.142,-0.893,
0.95,0.18,0.371,0.01,0.259,-0.184,-0.815,
1.0,0.18,0.36,0.015,0.756,-0.223,-0.739,
1.05,0.179,0.348,0.068,1.538,-0.259,-0.647,
1.1,0.184,0.334,0.184,1.993,-0.289,-0.531,
1.15,0.197,0.319,0.306,1.679,-0.313,-0.384,
1.2,0.217,0.303,0.371,0.931,-0.328,-0.226,
1.25,0.236,0.286,0.387,0.354,-0.335,-0.078,
1.3,0.256,0.269,0.391,0.07,-0.335,0.062,
1.35,0.275,0.252,0.393,-0.154,-0.329,0.2,
1.4,0.296,0.236,0.38,-0.417,-0.316,0.358,
1.45,0.314,0.22,0.348,-0.602,-0.294,0.546,
1.5,0.331,0.206,0.314,-0.685,-0.263,0.78,
1.55,0.346,0.193,0.28,-0.765,-0.221,1.089,
1.6,0.359,0.183,0.239,-0.864,-0.153,1.319,
1.65,0.37,0.177,0.193,-0.951,-0.07,1.154,
1.7,0.379,0.178,0.143,-1.013,-0.021,0.657,
1.75,0.384,0.177,0.091,-1.053,-0.012,0.293,
1.8,0.388,0.176,0.037,-1.077,-0.005,0.205,
1.85,0.388,0.176,-0.018,-1.085,0.003,0.286,
1.9,0.386,0.176,-0.073,-1.062,0.018,0.519,
1.95,0.381,0.178,-0.125,-1.008,0.045,0.918,
2.0,0.373,0.179,-0.174,-0.937,0.111,1.257,
2.05,0.363,0.188,-0.219,-0.853,0.193,1.167,
2.1,0.351,0.2,-0.26,-0.755,0.24,0.824,
2.15,0.337,0.213,-0.295,-0.661,0.269,0.55,
2.2,0.321,0.227,-0.325,-0.577,0.29,0.37,
2.25,0.304,0.242,-0.352,-0.48,0.305,0.227,
2.3,0.286,0.258,-0.378,-0.292,0.313,0.081,
2.35,0.266,0.274,-0.386,-0.024,0.314,-0.071,
2.4,0.247,0.289,-0.377,0.224,0.306,-0.222,
2.45,0.228,0.305,-0.364,0.529,0.291,-0.357,
2.5,0.21,0.319,-0.34,1.111,0.269,-0.474,
2.55,0.191,0.332,-0.259,1.743,0.243,-0.581,
2.6,0.182,0.343,-0.137,1.802,0.211,-0.682,
2.65,0.18,0.353,-0.052,1.299,0.173,-0.748,
2.7,0.179,0.361,-0.004,0.664,0.135,-0.774,
2.75,0.18,0.366,0.008,0.152,0.096,-0.802,
2.8,0.181,0.37,0.001,-0.108,0.055,-0.838,
2.85,0.181,0.372,-0.016,-0.077,0.011,-0.857,
2.9,0.178,0.371,-0.013,0.095,-0.031,-0.858,
2.95,0.179,0.369,0.001,0.145,-0.074,-0.849,
3.0,0.179,0.364,0.004,0.158,-0.118,-0.801,
3.05,0.179,0.357,0.014,0.274,-0.157,-0.714,
3.1,0.181,0.348,0.018,0.667,-0.189,-0.625,
3.15,0.179,0.338,0.063,1.355,-0.218,-0.555,
3.2,0.184,0.326,0.167,1.751,-0.245,-0.474,
3.25,0.196,0.313,0.27,1.518,-0.267,-0.357,
3.3,0.213,0.299,0.333,0.959,-0.281,-0.226,
3.35,0.231,0.285,0.359,0.473,-0.289,-0.099,
3.4,0.249,0.27,0.369,0.192,-0.292,0.039,
3.45,0.268,0.256,0.378,-0.049,-0.286,0.177,
3.5,0.288,0.241,0.369,-0.338,-0.273,0.303,
3.55,0.306,0.228,0.339,-0.537,-0.254,0.41,
3.6,0.322,0.216,0.309,-0.622,-0.232,0.505,
3.65,0.336,0.205,0.277,-0.693,-0.205,0.608,
3.7,0.35,0.195,0.241,-0.779,-0.171,0.708,
3.75,0.361,0.187,0.199,-0.865,-0.132,0.779,
3.8,0.37,0.182,0.154,-0.931,-0.092,0.83,
3.85,0.376,0.178,0.105,-0.982,-0.049,0.862,
3.9,0.38,0.177,0.055,-1.022,-0.004,0.847,
3.95,0.382,0.178,0.002,-1.035,0.037,0.805,
4.0,0.381,0.181,-0.05,-1.011,0.076,0.765,
4.05,0.377,0.185,-0.099,-0.972,0.113,0.731,
4.1,0.371,0.192,-0.148,-0.919,0.149,0.693,
4.15,0.362,0.2,-0.192,-0.846,0.184,0.616,
4.2,0.351,0.211,-0.233,-0.758,0.213,0.495,
4.25,0.338,0.222,-0.268,-0.67,0.233,0.382,
4.3,0.324,0.234,-0.299,-0.597,0.25,0.292,
4.35,0.309,0.247,-0.327,-0.518,0.264,0.173,
4.4,0.292,0.261,-0.356,-0.333,0.268,0.047,
4.45,0.272,0.274,-0.366,-0.061,0.267,-0.055,
4.5,0.254,0.288,-0.358,0.149,0.263,-0.168,
4.55,0.236,0.301,-0.348,0.337,0.252,-0.301,
4.6,0.219,0.313,-0.33,0.663,0.232,-0.42,
4.65,0.203,0.324,-0.293,1.183,0.208,-0.506,
4.7,0.188,0.334,-0.214,1.675,0.181,-0.572,
