t,p1,p2,v1,a1,v2,a2,
0.05,0.231,0.247,-0.075,0.4,-0.013,0.343,
0.1,0.228,0.246,-0.053,0.478,0.006,0.429,
0.15,0.226,0.247,-0.026,0.549,0.032,0.475,
0.2,0.225,0.25,0.004,0.587,0.056,0.466,
0.25,0.226,0.253,0.035,0.573,0.079,0.431,
0.3,0.229,0.257,0.062,0.525,0.101,0.359,
0.35,0.233,0.263,0.087,0.468,0.117,0.245,
0.4,0.238,0.269,0.109,0.41,0.126,0.113,
0.45,0.244,0.276,0.128,0.347,0.128,-0.013,
0.5,0.25,0.282,0.148,0.194,0.124,-0.123,
0.55,0.259,0.288,0.152,-0.048,0.115,-0.224,
0.6,0.266,0.294,0.139,-0.213,0.102,-0.334,
0.65,0.273,0.299,0.126,-0.274,0.081,-0.421,
0.7,0.279,0.302,0.112,-0.317,0.058,-0.469,
0.75,0.284,0.305,0.095,-0.368,0.034,-0.511,
0.8,0.288,0.306,0.075,-0.419,0.006,-0.528,
0.85,0.292,0.305,0.052,-0.459,-0.02,-0.512,
0.9,0.294,0.304,0.028,-0.485,-0.046,-0.474,
0.95,0.295,0.3,0.003,-0.482,-0.068,-0.426,
1.0,0.294,0.297,-0.021,-0.45,-0.088,-0.384,
1.05,0.292,0.292,-0.042,-0.411,-0.108,-0.314,
1.1,0.29,0.286,-0.062,-0.365,-0.12,-0.223,
1.15,0.286,0.28,-0.08,-0.306,-0.129,-0.14,
1.2,0.282,0.273,-0.094,-0.231,-0.135,-0.047,
1.25,0.276,0.266,-0.103,-0.154,-0.135,0.062,
1.3,0.271,0.259,-0.109,-0.087,-0.129,0.179,
1.35,0.265,0.253,-0.111,-0.024,-0.117,0.289,
1.4,0.26,0.247,-0.115,0.105,-0.099,0.38,
1.45,0.253,0.243,-0.104,0.3,-0.078,0.455,
1.5,0.249,0.239,-0.079,0.406,-0.054,0.519,
1.55,0.246,0.237,-0.059,0.429,-0.026,0.573,
1.6,0.243,0.236,-0.038,0.451,0.005,0.597,
1.65,0.242,0.238,-0.013,0.45,0.036,0.581,
1.7,0.242,0.24,0.009,0.43,0.065,0.525,
1.75,0.243,0.244,0.029,0.413,0.089,0.443,
1.8,0.245,0.249,0.05,0.39,0.109,0.358,
1.85,0.247,0.255,0.074,0.274,0.126,0.256,
1.9,0.253,0.262,0.078,0.148,0.135,0.14,
1.95,0.255,0.269,0.079,0.178,0.14,0.02,
2.0,0.26,0.276,0.099,0.137,0.137,-0.096,
2.05,0.266,0.283,0.102,-0.064,0.13,-0.201,
2.1,0.271,0.289,0.089,-0.211,0.116,-0.29,
2.15,0.275,0.295,0.076,-0.281,0.099,-0.345,
2.2,0.279,0.299,0.061,-0.323,0.082,-0.393,
2.25,0.281,0.303,0.044,-0.351,0.06,-0.451,
2.3,0.283,0.305,0.025,-0.361,0.036,-0.488,
2.35,0.284,0.307,0.007,-0.357,0.01,-0.493,
2.4,0.284,0.306,-0.011,-0.354,-0.015,-0.465,
2.45,0.283,0.305,-0.029,-0.343,-0.037,-0.425,
2.5,0.281,0.303,-0.046,-0.314,-0.056,-0.402,
2.55,0.278,0.299,-0.061,-0.264,-0.078,-0.365,
