t,p1,p2,v1,a1,v2,a2,
0.05,0.251,0.269,0.157,0.009,-0.168,0.021,
0.1,0.258,0.261,0.158,-0.022,-0.167,0.051,
0.15,0.267,0.253,0.156,-0.078,-0.164,0.111,
0.2,0.274,0.244,0.15,-0.137,-0.157,0.192,
0.25,0.282,0.237,0.142,-0.186,-0.145,0.261,
0.3,0.288,0.23,0.131,-0.232,-0.129,0.3,
0.35,0.295,0.224,0.119,-0.282,-0.114,0.333,
0.4,0.3,0.218,0.103,-0.336,-0.098,0.396,
0.45,0.305,0.214,0.085,-0.384,-0.075,0.458,
0.5,0.309,0.211,0.065,-0.421,-0.05,0.484,
0.55,0.312,0.209,0.042,-0.443,-0.026,0.489,
0.6,0.313,0.208,0.019,-0.447,-0.001,0.484,
0.65,0.314,0.209,-0.003,-0.438,0.022,0.481,
0.7,0.313,0.21,-0.024,-0.426,0.048,0.463,
0.75,0.311,0.214,-0.046,-0.411,0.07,0.417,
0.8,0.308,0.217,-0.066,-0.384,0.089,0.38,
0.85,0.305,0.222,-0.084,-0.355,0.108,0.339,
0.9,0.3,0.228,-0.102,-0.316,0.124,0.27,
0.95,0.294,0.235,-0.117,-0.263,0.135,0.201,
1.0,0.288,0.242,-0.128,-0.212,0.144,0.144,
1.05,0.281,0.25,-0.137,-0.173,0.15,0.075,
1.1,0.274,0.257,-0.145,-0.129,0.151,-0.003,
1.15,0.267,0.265,-0.152,-0.054,0.149,-0.075,
1.2,0.259,0.272,-0.152,0.041,0.144,-0.14,
1.25,0.251,0.279,-0.147,0.119,0.134,-0.183,
1.3,0.244,0.286,-0.138,0.168,0.125,-0.216,
1.35,0.238,0.292,-0.13,0.223,0.114,-0.271,
1.4,0.231,0.297,-0.117,0.286,0.098,-0.337,
1.45,0.226,0.302,-0.099,0.305,0.08,-0.386,
1.5,0.221,0.305,-0.086,0.32,0.059,-0.409,
1.55,0.217,0.308,-0.069,0.365,0.038,-0.412,
1.6,0.214,0.309,-0.048,0.392,0.017,-0.409,
1.65,0.213,0.309,-0.034,0.479,-0.003,-0.404,
1.7,0.21,0.309,-0.001,0.565,-0.023,-0.4,
1.75,0.212,0.307,0.033,0.478,-0.044,-0.388,
1.8,0.214,0.304,0.047,0.384,-0.063,-0.36,
1.85,0.217,0.301,0.066,0.372,-0.079,-0.334,
1.9,0.221,0.297,0.085,0.355,-0.096,-0.298,
1.95,0.225,0.291,0.102,0.323,-0.11,-0.247,
2.0,0.231,0.285,0.118,0.266,-0.121,-0.196,
2.05,0.237,0.279,0.129,0.201,-0.131,-0.13,
2.1,0.244,0.272,0.138,0.142,-0.134,-0.055,
2.15,0.251,0.265,0.143,0.087,-0.135,-0.005,
2.2,0.258,0.259,0.147,0.031,-0.135,0.051,
2.25,0.266,0.252,0.147,-0.037,-0.13,0.123,
2.3,0.273,0.245,0.143,-0.107,-0.122,0.188,
2.35,0.28,0.239,0.136,-0.17,-0.111,0.241,
2.4,0.287,0.234,0.126,-0.227,-0.098,0.282,
2.45,0.293,0.23,0.113,-0.274,-0.083,0.333,
2.5,0.298,0.226,0.098,-0.32,-0.064,0.382,
2.55,0.303,0.223,0.081,-0.37,-0.044,0.402,
2.6,0.307,0.221,0.061,-0.413,-0.024,0.407,
2.65,0.309,0.221,0.039,-0.442,-0.003,0.406,
2.7,0.311,0.221,0.016,-0.456,0.018,0.387,
2.75,0.311,0.223,-0.008,-0.447,0.037,0.35,
2.8,0.31,0.225,-0.029,-0.416,0.053,0.312,
2.85,0.308,0.228,-0.049,-0.391,0.068,0.277,
2.9,0.305,0.232,-0.068,-0.371,0.08,0.244,
2.95,0.301,0.236,-0.086,-0.336,0.092,0.213,
3.0,0.296,0.241,-0.102,-0.289,0.102,0.176,
3.05,0.291,0.246,-0.116,-0.232,0.11,0.133,
3.1,0.284,0.252,-0.125,-0.182,0.116,0.072,
3.15,0.278,0.258,-0.133,-0.153,0.118,-0.004,
3.2,0.271,0.264,-0.141,-0.104,0.115,-0.06,
3.25,0.264,0.27,-0.145,-0.03,0.11,-0.089,
3.3,0.257,0.275,-0.144,0.045,0.106,-0.119,
3.35,0.249,0.28,-0.14,0.12,0.1,-0.177,
3.4,0.242,0.285,-0.131,0.172,0.088,-0.237,
3.45,0.236,0.289,-0.122,0.213,0.075,-0.265,
3.5,0.23,0.293,-0.111,0.262,0.061,-0.282,
3.55,0.225,0.295,-0.095,0.3,0.047,-0.307,
3.6,0.221,0.297,-0.08,0.325,0.031,-0.333,
3.65,0.217,0.298,-0.067,0.418,0.013,-0.348,
3.7,0.213,0.299,-0.037,0.485,-0.005,-0.345,
3.75,0.214,0.298,-0.013,0.448,-0.022,-0.319,
3.8,0.212,0.296,0.009,0.401,-0.037,-0.286,
3.85,0.215,0.294,0.027,0.371,-0.05,-0.265,
3.9,0.215,0.291,0.039,0.459,-0.063,-0.245,
3.95,0.218,0.288,0.071,0.549,-0.076,-0.204,
4.0,0.222,0.283,0.104,0.448,-0.084,-0.161,
4.05,0.229,0.279,0.122,0.238,-0.091,-0.143,
4.1,0.235,0.275,0.123,0.119,-0.099,-0.111,
4.15,0.241,0.269,0.128,0.111,-0.103,-0.054,
4.2,0.247,0.264,0.135,0.095,-0.104,-0.001,
4.25,0.255,0.259,0.139,0.055,-0.103,0.043,
4.3,0.261,0.254,0.141,-0.004,-0.1,0.087,
4.35,0.269,0.249,0.14,-0.089,-0.094,0.136,
4.4,0.276,0.244,0.131,-0.152,-0.085,0.167,
4.45,0.282,0.24,0.123,-0.176,-0.077,0.192,
4.5,0.288,0.236,0.114,-0.212,-0.067,0.227,
4.55,0.293,0.234,0.102,-0.264,-0.055,0.261,
4.6,0.298,0.231,0.088,-0.318,-0.041,0.306,
4.65,0.302,0.229,0.071,-0.371,-0.023,0.322,
4.7,0.305,0.229,0.05,-0.402,-0.007,0.299,
4.75,0.307,0.229,0.029,-0.41,0.006,0.296,
4.8,0.308,0.229,0.009,-0.406,0.022,0.3,
4.85,0.308,0.231,-0.012,-0.381,0.038,0.272,
4.9,0.307,0.233,-0.031,-0.334,0.05,0.236,
4.95,0.305,0.236,-0.046,-0.275,0.061,0.207,
5.0,0.302,0.24,-0.056,-0.227,0.069,0.184,
