t,p1,p2,v1,a1,v2,a2,
0.05,0.258,0.558,0.001,-0.013,0.001,-3.614,
0.1,0.258,0.557,-0.0,-0.019,-0.227,-3.081,
0.15,0.258,0.533,-0.002,-0.009,-0.412,-0.774,
0.2,0.258,0.502,-0.002,0.011,-0.341,2.294,
0.25,0.258,0.493,-0.001,0.027,-0.114,4.008,
0.3,0.257,0.49,0.002,0.029,0.14,3.883,
0.35,0.258,0.508,0.003,0.005,0.352,1.953,
0.4,0.258,0.535,0.002,-0.016,0.367,-0.738,
0.45,0.258,0.55,0.001,-0.015,0.257,-2.907,
0.5,0.258,0.567,0.0,-0.008,0.017,-3.687,
0.55,0.258,0.551,0.0,-0.001,-0.215,-2.332,
0.6,0.258,0.534,0.0,0.002,-0.234,-0.37,
0.65,0.258,0.529,0.0,0.002,-0.234,1.312,
0.7,0.258,0.505,0.001,-0.006,-0.103,2.712,
0.75,0.258,0.514,-0.0,-0.012,0.114,2.471,
0.8,0.258,0.523,-0.002,-0.001,0.208,0.884,
0.85,0.258,0.538,-0.0,0.007,0.215,-1.046,
0.9,0.258,0.551,0.001,-0.015,0.072,-2.295,
0.95,0.258,0.545,-0.002,-0.025,-0.077,-2.153,
1.0,0.258,0.542,-0.004,-0.002,-0.187,-0.984,
1.05,0.258,0.522,-0.002,0.018,-0.202,0.734,
1.1,0.257,0.515,-0.001,0.025,-0.09,1.925,
1.15,0.257,0.512,0.001,0.018,0.048,2.0,
1.2,0.258,0.523,0.001,0.001,0.142,1.563,
1.25,0.258,0.531,0.0,-0.006,0.151,2.447,
1.3,0.258,0.537,0.0,-0.003,0.267,5.167,
1.35,0.258,0.546,0.0,0.001,0.618,6.996,
1.4,0.258,0.556,0.0,0.003,1.484,-0.821,
1.45,0.258,0.759,0.001,-0.001,1.125,-17.428,
1.5,0.258,0.783,0.0,-0.005,-1.137,-17.958,
1.55,0.258,0.543,-0.0,0.005,-1.679,-0.355,
1.6,0.258,0.527,0.001,0.008,-0.626,9.079,
1.65,0.258,0.528,0.001,-0.002,-0.141,7.054,
1.7,0.258,0.531,0.0,-0.007,0.043,3.51,
1.75,0.258,0.531,0.0,-0.004,0.089,1.38,
1.8,0.258,0.531,0.0,-0.0,0.241,-1.041,
1.85,0.258,0.581,0.0,0.002,-0.036,-2.64,
1.9,0.258,0.524,0.0,0.003,-0.248,-0.352,
1.95,0.258,0.53,0.001,-0.003,-0.018,1.216,
2.0,0.258,0.535,0.0,-0.008,0.014,0.658,
2.05,0.258,0.536,-0.001,0.001,-0.024,1.607,
2.1,0.258,0.532,0.0,0.011,0.038,4.656,
2.15,0.258,0.526,0.001,0.007,0.345,8.346,
2.2,0.258,0.523,0.001,-0.004,1.34,3.149,
2.25,0.258,0.728,0.0,-0.009,1.056,-9.063,
2.3,0.258,0.663,-0.0,-0.005,0.08,-14.454,
2.35,0.258,0.734,-0.001,0.005,-0.875,-10.168,
2.4,0.258,0.548,0.001,0.006,-1.275,0.875,
2.45,0.258,0.541,0.001,-0.005,-0.454,6.173,
2.5,0.258,0.541,-0.0,-0.004,-0.236,3.529,
2.55,0.258,0.53,0.0,0.004,-0.203,1.655,
2.6,0.258,0.516,0.001,-0.002,-0.176,1.426,
2.65,0.258,0.509,0.0,-0.008,-0.083,2.003,
2.7,0.258,0.506,-0.001,-0.003,0.051,2.088,
2.75,0.258,0.515,-0.0,0.005,0.169,1.232,
2.8,0.258,0.527,0.0,0.007,0.205,-0.305,
2.85,0.258,0.54,0.0,0.009,0.142,-1.861,
2.9,0.258,0.545,0.001,0.003,-0.02,-2.526,
2.95,0.258,0.537,0.001,-0.009,-0.173,-1.812,
3.0,0.258,0.524,0.0,-0.016,-0.245,-0.114,
