frame,x,y
000001,173,1660
000002,176,1659
000003,175,1659
000004,248,1838
000005,174,1656
000006,177,1655
000007,177,1657
000008,176,1660
000009,176,1659
000010,179,1655
000011,177,1655
000012,179,1654
000013,180,1655
000014,180,1656
000015,177,1658
000016,177,1659
000017,175,1659
000018,175,1661
000019,170,1667
000020,169,1664
000021,159,1663
000022,155,1647
000023,152,1647
000024,159,1672
000025,153,1714
000026,142,1754
000027,123,1791
000028,123,1817
000029,119,1847
000030,124,1872
000031,128,1893
000032,73,1779
000033,72,1811
000034,68,1842
000035,60,1866
000036,44,1884
000037,23,1894
000038,598,698
000039,597,728
000040,590,823
000041,584,874
000042,573,928
000043,570,932
000044,563,958
000045,558,973
000046,562,966
000047,567,949
000048,571,951
000049,579,909
000050,589,832
000051,590,799
000052,596,741
000053,603,683
000054,606,615
000055,606,553
000056,600,550
000057,596,526
000058,594,518
000059,596,527
000060,600,549
000061,605,577
000062,609,582
000063,606,638
000064,599,694
000065,594,755
000066,594,810
000067,588,864
000068,578,911
000069,569,944
000070,560,968
000071,559,975
000072,564,966
000073,571,945
000074,579,913
000075,586,873
000076,590,824
000077,592,769
000078,599,713
000079,608,658
000080,608,613
000081,607,558
000082,602,521
000083,599,500
000084,600,496
000085,601,506
000086,601,562
000087,609,565
000088,607,621
000089,605,662
000090,597,715
000091,593,772
000092,594,822
000093,586,873
000094,578,912
000095,570,942
000096,562,962
000097,562,963
000098,567,951
000099,575,926
000100,584,892
000101,589,851
000102,592,801
000103,595,748
000104,602,695
000105,608,645
000106,608,591
000107,607,551
000108,603,523
000109,596,537
000110,601,508
000111,604,527
000112,606,565
000113,609,590
000114,607,641
000115,602,685
000116,595,739
000117,594,791
000118,592,839
000119,584,884
000120,576,917
000121,568,942
000122,564,954
000123,567,949
000124,573,933
000125,580,905
000126,587,870
000127,591,826
000128,593,777
000129,598,726
000130,606,675
000131,608,631
000132,607,592
000133,604,558
000134,600,537
000135,600,530
000136,602,540
000137,605,558
000138,608,588
000139,608,624
000140,605,663
000141,598,711
000142,595,763
000143,595,810
000144,589,857
000145,581,895
000146,573,923
000147,567,941
000148,568,943
000149,572,932
000150,579,911
000151,585,881
000152,589,844
000153,591,799
000154,595,752
000155,603,702
000156,608,657
000157,608,616
000158,605,580
000159,601,555
000160,601,541
000161,602,544
000162,606,552
000163,609,575
000164,608,613
000165,606,647
000166,601,688
000167,597,737
000168,597,784
000169,593,830
000170,586,870
000171,578,901
000172,571,923
000173,570,932
000174,574,925
000175,579,910
000176,584,886
000177,588,856
000178,590,817
000179,593,774
000180,600,728
000181,607,683
000182,608,642
000183,606,603
000184,602,572
000185,603,546
000186,604,542
000187,607,552
000188,610,567
000189,610,597
000190,607,632
000191,602,670
000192,598,714
000193,599,758
000194,598,803
000195,591,844
000196,582,877
000197,574,904
000198,573,916
000199,575,916
000200,580,907
000201,584,889
000202,587,864
000203,589,832
000204,591,794
000205,598,752
000206,606,708
000207,608,666
000208,604,640
000209,604,579
000210,598,592
000211,600,586
000212,607,558
000213,610,570
000214,609,586
000215,603,643
000216,600,669
000217,601,678
000218,599,749
000219,598,792
000220,591,835
000221,582,868
000222,574,899
000223,573,916
000224,575,921
000225,579,918
000226,581,909
000227,584,891
000228,587,829
000229,590,797
000230,593,790
000231,601,750
000232,604,710
000233,606,638
000234,600,635
000235,605,577
000236,602,605
000237,609,568
000238,605,609
000239,604,620
000240,602,635
000241,600,656
000242,603,658
000243,605,699
000244,604,739
000245,594,811
000246,585,848
000247,578,878
000248,578,898
000249,579,908
000250,580,911
000251,580,906
000252,584,860
000253,581,874
000254,585,844
000255,593,807
000256,600,768
000257,605,699
000258,604,659
000259,604,628
000260,602,633
000261,603,618
000262,605,613
000263,604,611
000264,608,579
000265,601,625
000266,605,613
000267,606,649
000268,606,686
000269,604,729
000270,597,776
000271,590,813
000272,588,835
000273,585,866
000274,584,882
000275,584,879
000276,583,879
000277,583,871
000278,586,852
000279,591,825
000280,598,790
000281,602,751
000282,603,713
000283,605,673
000284,607,637
000285,608,610
000286,604,626
000287,607,578
000288,606,572
000289,602,613
000290,606,588
000291,607,612
000292,607,643
000293,606,679
000294,602,717
000295,598,758
000296,594,794
000297,591,827
000298,588,852
000299,585,868
000300,583,877
000301,582,877
000302,584,868
000303,588,849
000304,592,825
000305,596,793
000306,599,756
000307,603,716
000308,606,678
000309,608,644
000310,608,616
000311,607,594
000312,602,614
000313,602,611
000314,607,581
000315,608,596
000316,608,617
000317,607,647
000318,605,681
000319,602,719
000320,600,757
000321,596,794
000322,592,825
000323,587,850
000324,584,866
000325,584,873
000326,584,872
000327,586,862
000328,589,845
000329,592,822
000330,595,790
000331,599,753
000332,603,718
000333,606,680
000334,606,647
000335,601,648
000336,606,595
000337,603,621
000338,604,619
000339,604,625
000340,604,635
000341,603,653
000342,606,647
000343,605,679
000344,604,718
000345,597,782
000346,596,788
000347,591,818
000348,588,846
000349,586,857
000350,586,866
000351,586,866
000352,587,859
000353,588,843
000354,592,820
000355,596,790
000356,601,755
000357,604,718
000358,605,682
000359,606,649
000360,607,620
000361,608,603
000362,604,625
000363,608,589
000364,608,591
000365,608,603
000366,603,655
000367,607,651
000368,606,684
000369,604,718
000370,600,755
000371,595,788
000372,592,819
000373,589,840
000374,587,856
000375,586,865
000376,585,865
000377,586,857
000378,589,841
000379,593,817
000380,595,797
000381,601,753
000382,603,717
000383,606,684
000384,603,681
000385,608,626
000386,608,606
000387,603,626
000388,607,589
000389,607,592
000390,607,605
000391,603,659
000392,603,684
000393,606,686
000394,603,721
000395,600,755
000396,596,790
000397,593,816
000398,590,839
000399,588,852
000400,587,858
000401,587,860
000402,588,851
000403,591,834
000404,592,821
000405,596,793
000406,601,749
000407,604,715
000408,607,681
000409,607,651
000410,608,624
000411,608,606
000412,607,596
000413,607,593
000414,603,632
000415,608,611
000416,607,631
000417,602,688
000418,605,692
000419,603,724
000420,600,758
000421,596,791
000422,592,817
000423,589,838
000424,587,853
000425,587,858
000426,585,866
000427,588,845
000428,590,832
000429,593,808
000430,597,778
000431,597,773
000432,599,741
000433,605,678
000434,606,647
000435,607,623
000436,607,608
000437,604,637
000438,607,597
000439,604,638
000440,603,650
000441,603,669
000442,605,660
000443,601,724
000444,598,755
000445,599,762
000446,595,786
000447,588,845
000448,585,866
000449,583,879
000450,587,853
000451,587,850
000452,588,839
000453,591,823
000454,594,797
000455,598,772
000456,601,741
000457,603,706
000458,605,674
000459,602,680
000460,603,660
000461,608,609
000462,607,600
000463,603,635
000464,607,605
000465,602,654
000466,607,639
000467,606,666
000468,600,728
000469,602,729
000470,599,762
000471,595,792
000472,593,818
000473,590,836
000474,588,848
000475,588,851
000476,588,849
000477,585,863
000478,592,820
000479,595,796
000480,599,769
000481,598,762
000482,604,707
000483,606,673
000484,602,678
000485,608,628
000486,603,646
000487,604,639
000488,603,640
000489,603,647
000490,603,661
000491,602,682
492,606,670
493,599,736
494,597,767
495,594,799
496,595,787
497,590,827
498,590,848
499,590,852
500,590,849
501,590,847
502,589,846
503,589,846
504,591,822
505,594,794
506,597,763
507,604,693
508,605,666
509,606,642
510,602,662
511,603,649
000512,603,644
000513,603,644
000514,607,613
000515,602,667
000516,606,650
000517,605,677
000518,603,705
000519,601,736
000520,593,800
000521,594,792
000522,592,814
000523,585,865
000524,584,873
000525,583,874
000526,585,869
000527,591,825
000528,594,807
000529,596,784
000530,600,756
000531,602,723
000532,605,696
000533,606,669
000534,607,646
000535,608,629
000536,603,648
000537,608,612
000538,608,615
000539,608,626
000540,608,640
000541,607,664
000542,606,692
000543,604,721
000544,601,749
000545,598,777
000546,595,803
000547,592,823
000548,590,834
000549,589,842
000550,589,842
000551,590,835
000552,592,823
000553,595,804
000554,598,777
000555,601,751
000556,603,720
000557,606,692
000558,602,695
000559,603,675
000560,603,660
000561,604,652
000562,603,649
000563,604,653
000564,602,663
000565,607,641
000566,606,664
000567,600,727
000568,598,755
000569,596,784
000570,592,811
000571,589,834
000572,587,853
000573,585,864
000574,585,870
000575,585,870
000576,586,862
000577,587,847
000578,591,827
000579,593,801
000580,596,774
000581,599,746
000582,601,719
000583,602,696
000584,603,677
000585,605,656
000586,606,644
000587,607,636
000588,608,632
000589,609,629
000590,604,690
000591,601,711
000592,599,737
000593,598,764
000594,595,793
000595,592,817
000596,589,839
000597,592,813
000598,590,821
000599,588,829
000600,590,825
000601,590,816
000602,589,838
000603,592,816
000604,595,790
000605,598,763
000606,599,735
000607,606,680
000608,603,687
000609,607,640
000610,608,630
000611,603,652
000612,608,623
000613,608,630
000614,607,643
000615,607,664
000616,606,688
000617,604,715
000618,601,742
000619,599,768
000620,595,800
000621,594,811
000622,592,825
000623,591,832
000624,590,833
000625,589,840
000626,593,818
000627,595,800
000628,597,779
000629,600,754
000630,603,727
000631,605,699
000632,601,705
000633,602,684
000634,602,668
000635,603,661
000636,607,619
000637,607,622
000638,607,631
000639,607,647
000640,606,667
000641,605,692
000642,603,719
000643,601,747
000644,598,772
000645,596,794
000646,593,812
000647,592,824
000648,591,829
000649,591,830
000650,592,824
000651,592,820
000652,594,803
000653,597,780
000654,600,757
000655,603,722
000656,605,697
000657,606,673
000658,607,652
000659,608,638
000660,608,630
000661,608,628
000662,608,632
000663,607,641
000664,607,657
000665,606,679
000666,605,702
000667,603,727
000668,600,752
000669,597,775
000670,595,796
000671,588,842
000672,592,823
000673,591,827
000674,592,825
000675,593,816
000676,594,801
000677,597,785
000678,595,789
000679,602,738
000680,604,711
000681,606,686
000682,602,694
000683,603,679
000684,603,668
000685,603,661
000686,607,628
000687,607,633
000688,607,645
000689,606,662
000690,601,716
000691,604,708
000692,602,738
000693,599,757
000694,593,811
000695,595,802
000696,593,815
000697,587,852
000698,591,824
000699,588,849
000700,593,809
000701,591,823
000702,593,804
000703,596,782
000704,598,757
000705,604,698
000706,601,711
000707,602,693
000708,602,679
000709,607,630
000710,607,627
000711,607,630
000712,607,637
000713,602,688
000714,605,669
000715,605,694
000716,603,717
000717,601,745
000718,599,767
000719,596,788
000720,595,806
000721,593,817
000722,593,823
000723,593,823
000724,593,816
000725,595,806
000726,597,788
000727,599,769
000728,601,746
000729,603,722
000730,605,698
000731,606,677
000732,607,657
000733,608,646
000734,603,667
000735,608,632
000736,602,670
000737,602,679
000738,602,694
000739,605,678
000740,600,733
000741,598,757
000742,600,748
000743,593,804
000744,596,788
000745,589,836
000746,593,812
000747,587,850
000748,588,847
000749,594,808
000750,591,825
000751,597,778
000752,595,786
000753,603,735
000754,604,712
000755,606,689
000756,607,671
000757,607,653
000758,608,643
000759,608,639
000760,608,639
000761,608,646
000762,607,654
000763,607,673
000764,605,692
000765,604,715
000766,602,738
000767,598,771
000768,598,782
000769,594,809
000770,594,810
000771,593,818
000772,593,820
000773,594,816
000774,595,806
000775,597,790
000776,597,782
000777,601,749
000778,603,727
000779,605,704
000780,606,683
000781,607,665
000782,607,652
000783,607,638
000784,607,635
000785,602,672
000786,602,680
000787,602,693
000788,601,710
000789,600,729
000790,599,752
000791,597,774
000792,599,766
000793,592,814
000794,595,799
000795,593,808
000796,593,813
000797,593,810
000798,594,808
000799,591,825
000800,597,779
000801,595,791
000802,597,769
000803,599,748
000804,600,725
000805,606,672
000806,602,693
000807,602,680
000808,602,674
000809,603,674
000810,603,679
000811,607,651
000812,606,665
000813,605,683
000814,599,740
000815,602,727
000816,600,749
000817,593,803
000818,592,820
000819,590,833
000820,593,806
000821,594,808
000822,588,839
000823,595,799
000824,591,818
000825,598,770
000826,595,780
000827,602,726
000828,600,739
000829,605,684
000830,602,703
000831,603,689
000832,606,643
000833,604,676
000834,603,678
000835,603,685
000836,602,696
000837,606,674
000838,604,693
000839,602,714
000840,597,771
000841,594,790
000842,592,809
000843,596,789
000844,589,835
000845,588,840
000846,589,839
000847,589,835
000848,595,791
000849,593,810
000850,599,757
000851,597,772
000852,599,751
000853,600,731
000854,606,676
000855,601,698
000856,607,649
000857,607,643
000858,603,679
000859,602,681
000860,602,690
000861,601,702
000862,601,719
000863,600,738
000864,598,759
000865,596,779
000866,594,797
000867,592,814
000868,591,829
000869,590,836
000870,589,838
000871,590,837
000872,595,794
000873,592,817
000874,594,801
000875,596,783
000876,598,763
000877,603,707
000878,605,687
000879,602,707
000880,602,695
000881,602,686
000882,602,681
000883,602,682
000884,602,688
000885,606,659
000886,601,712
000887,600,730
000888,599,748
000889,597,769
000890,595,789
000891,598,770
000892,591,820
000893,595,796
000894,594,801
000895,590,837
000896,590,833
000897,591,824
000898,597,774
000899,599,757
000900,601,739
000901,603,718
