frame,x,y
000001,508,1334
000002,508,1334
000003,508,1333
000004,508,1329
000005,510,1325
000006,514,1318
000007,521,1305
000008,537,1264
000009,571,1153
000010,600,997
000011,602,841
000012,591,719
000013,592,693
000014,595,746
000015,602,876
000016,596,1028
000017,566,1171
000018,535,1266
000019,531,1279
000020,554,1210
000021,586,1078
000022,603,931
000023,598,788
000024,591,710
000025,592,714
000026,598,799
000027,603,954
000028,583,1098
000029,549,1223
000030,532,1276
000031,540,1251
000032,570,1149
000033,599,1004
000034,602,857
000035,595,746
000036,591,705
000037,595,756
000038,600,888
000039,596,1022
000040,568,1160
000041,539,1250
000042,535,1265
000043,554,1205
000044,585,1081
000045,603,948
000046,601,805
000047,592,722
000048,593,725
000049,600,795
000050,603,954
000051,586,1087
000052,554,1206
000053,538,1258
000054,543,1238
000055,571,1145
000056,599,1007
000057,604,883
000058,596,762
000059,593,719
000060,597,766
000061,603,883
000062,599,1015
000063,571,1146
000064,544,1235
000065,540,1249
000066,556,1197
000067,587,1078
000068,603,945
000069,602,818
000070,594,740
000071,594,743
000072,601,823
000073,602,954
000074,585,1083
000075,556,1193
000076,542,1243
000077,547,1224
000078,573,1137
000079,598,1008
000080,604,891
000081,595,768
000082,594,735
000083,596,778
000084,603,892
000085,597,1016
000086,571,1140
000087,548,1224
000088,544,1237
000089,561,1179
000090,588,1069
000091,604,944
000092,600,815
000093,596,750
000094,596,757
000095,601,838
000096,603,960
000097,584,1089
000098,558,1191
000099,545,1234
000100,552,1209
000101,577,1121
000102,600,995
000103,603,879
000104,597,776
000105,597,752
000106,599,797
000107,604,903
000108,595,1026
000109,571,1145
000110,550,1217
000111,549,1223
000112,567,1165
000113,591,1052
000114,604,930
000115,600,819
000116,599,762
000117,599,773
000118,603,850
000119,603,970
000120,583,1094
000121,560,1189
000122,549,1221
000123,558,1194
000124,582,1105
000125,601,984
000126,603,871
000127,599,786
000128,600,768
000129,599,814
000130,604,917
000131,593,1039
000132,571,1147
000133,553,1209
000134,554,1208
000135,572,1147
000136,593,1039
000137,604,925
000138,601,821
000139,600,772
000140,600,790
000141,604,873
000142,601,983
000143,582,1099
000144,561,1182
000145,554,1209
000146,563,1177
000147,584,1089
000148,603,974
000149,603,866
000150,601,790
000151,600,780
000152,602,837
000153,604,934
000154,591,1048
000155,571,1147
000156,557,1198
000157,559,1193
000158,576,1130
000159,595,1026
000160,604,919
000161,601,826
000162,601,786
000163,600,809
000164,604,887
000165,599,995
000166,582,1104
000167,562,1177
000168,558,1196
000169,568,1160
000170,587,1075
000171,602,965
000172,603,863
000173,600,799
000174,599,795
000175,603,850
000176,602,953
000177,590,1058
000178,571,1144
000179,560,1187
000180,563,1176
000181,579,1111
000182,598,1012
000183,603,907
000184,602,824
000185,601,793
000186,602,824
000187,604,911
000188,597,1013
000189,580,1105
000190,565,1170
000191,562,1183
000192,572,1142
000193,590,1055
000194,603,954
000195,602,861
000196,602,802
000197,602,806
000198,604,869
000199,602,967
000200,589,1063
000201,571,1144
000202,563,1180
000203,567,1160
000204,583,1096
000205,600,996
000206,604,901
000207,602,823
000208,602,806
000209,602,839
000210,604,928
000211,595,1025
000212,578,1114
000213,566,1167
000214,565,1171
000215,577,1122
000216,593,1038
000217,603,946
000218,602,860
000219,602,809
000220,602,822
000221,602,893
000222,600,985
000223,586,1075
000224,571,1144
000225,566,1168
000226,572,1143
000227,587,1073
000228,601,983
000229,603,886
000230,603,829
000231,603,819
000232,604,859
000233,602,948
000234,593,1036
000235,577,1118
000236,568,1160
000237,568,1156
000238,581,1106
000239,596,1022
000240,604,935
000241,603,856
000242,602,822
000243,603,841
000244,604,912
000245,599,998
000246,585,1085
000247,571,1143
000248,569,1157
000249,575,1127
000250,590,1057
000251,601,969
000252,603,886
