frame,x,y
000001,527,1246
000002,527,1246
000003,526,1246
000004,525,1245
000005,526,1246
000006,526,1248
000007,527,1248
000008,526,1247
000009,525,1246
000010,525,1246
000011,526,1247
000012,526,1250
000013,525,1251
000014,528,1238
000015,546,1180
000016,580,1026
000017,589,845
000018,590,887
000019,571,1080
000020,552,1157
000021,583,1009
000022,588,841
000023,589,920
000024,570,1082
000025,555,1147
000026,585,997
000027,588,842
000028,590,932
000029,566,1101
000030,557,1139
000031,585,991
000032,586,845
000033,588,949
000034,566,1097
000035,559,1120
000036,586,978
000037,586,844
000038,586,968
000039,562,1109
000040,562,1108
000041,587,968
000042,586,847
000043,586,978
000044,560,1122
000045,565,1103
000046,587,958
000047,587,855
000048,583,1004
000049,559,1126
000050,568,1089
000051,587,941
000052,587,861
000053,583,1000
000054,558,1128
000055,571,1071
000056,588,932
000057,587,871
000058,579,1034
000059,559,1125
000060,573,1059
000061,587,913
000062,586,883
000063,577,1046
000064,560,1125
000065,575,1047
000066,586,901
000067,587,896
000068,577,1037
000069,561,1120
000070,578,1036
000071,587,888
000072,587,911
000073,575,1053
000074,562,1118
000075,581,1012
000076,586,893
000077,587,924
000078,574,1053
000079,563,1112
000080,582,1008
000081,588,882
000082,587,938
000083,571,1066
000084,563,1106
000085,584,991
000086,587,886
000087,586,951
000088,571,1071
000089,565,1096
000090,585,977
000091,588,882
000092,585,962
000093,568,1083
000094,567,1083
000095,586,964
000096,588,887
000097,585,972
000098,567,1084
000099,569,1070
000100,586,957
000101,588,889
000102,583,986
000103,566,1094
000104,571,1065
000105,585,948
000106,587,893
000107,582,1003
000108,564,1101
000109,571,1054
000110,587,940
000111,588,903
000112,580,1003
000113,566,1094
000114,575,1043
000115,587,930
000116,587,907
000117,579,1018
000118,567,1092
000119,579,1019
000120,587,914
000121,586,917
000122,579,1014
000123,566,1091
000124,580,1021
000125,587,913
000126,586,923
000127,575,1035
000128,567,1085
000129,582,1005
000130,588,905
000131,587,939
000132,574,1043
000133,567,1082
000134,583,994
000135,588,904
000136,586,953
000137,571,1052
000138,568,1072
000139,584,982
000140,588,906
000141,586,961
000142,571,1059
000143,570,1064
000144,585,973
000145,588,907
000146,584,975
000147,570,1069
000148,572,1059
000149,585,960
000150,588,910
000151,583,986
000152,569,1074
000153,574,1055
000154,586,952
000155,588,915
000156,582,999
000157,570,1076
000158,575,1045
000159,586,944
000160,587,923
000161,580,1010
000162,570,1075
000163,577,1034
000164,586,938
000165,587,930
000166,580,1019
000167,570,1074
000168,579,1024
000169,586,933
000170,586,938
000171,578,1030
000172,570,1074
000173,580,1012
000174,587,927
000175,586,947
000176,576,1039
000177,571,1068
000178,581,1002
000179,587,924
000180,586,956
000181,575,1048
000182,571,1066
000183,583,990
000184,588,922
000185,585,966
000186,574,1053
000187,572,1060
000188,584,981
000189,588,923
000190,584,975
000191,573,1058
000192,574,1053
000193,585,970
000194,588,925
000195,583,986
000196,573,1059
000197,575,1045
000198,585,962
000199,587,928
000200,582,998
000201,573,1061
000202,576,1039
000203,586,954
000204,587,934
000205,582,1007
000206,573,1062
000207,578,1029
000208,587,947
000209,587,939
000210,579,1014
000211,573,1063
000212,579,1017
000213,587,942
000214,586,946
000215,579,1022
000216,573,1061
000217,581,1009
000218,586,938
000219,586,954
000220,577,1031
000221,574,1057
000222,582,1000
000223,587,935
000224,586,962
000225,576,1033
000226,574,1052
000227,583,989
000228,588,933
000229,585,973
000230,576,1043
000231,575,1046
000232,584,982
000233,587,934
000234,584,982
000235,575,1048
000236,576,1036
000237,585,971
000238,588,935
000239,583,989
000240,575,1050
000241,577,1030
000242,586,959
000243,587,938
000244,581,999
000245,573,1050
000246,577,1023
000247,586,956
000248,587,942
000249,581,1002
000250,574,1051
000251,580,1012
000252,587,947
000253,587,945
000254,579,1011
000255,574,1051
000256,580,1003
000257,587,945
000258,586,955
000259,579,1020
000260,574,1048
000261,581,1001
000262,587,943
000263,585,959
000264,578,1026
000265,576,1045
000266,582,988
000267,587,942
000268,585,975
000269,577,1030
000270,576,1040
000271,584,983
000272,587,943
000273,584,978
000274,576,1038
000275,577,1034
000276,584,973
000277,587,943
000278,583,990
000279,576,1041
000280,578,1030
000281,585,968
000282,587,946
000283,582,998
000284,575,1046
000285,579,1019
000286,586,964
000287,586,950
000288,581,1003
000289,576,1044
000290,580,1014
000291,586,954
000292,586,954
000293,580,1009
000294,576,1044
000295,581,1006
000296,587,952
000297,586,961
000298,579,1017
000299,576,1043
000300,581,1002
000301,587,951
000302,585,965
000303,579,1025
000304,577,1040
000305,583,994
000306,586,951
000307,584,975
000308,578,1028
000309,577,1035
000310,583,987
000311,586,951
000312,584,982
000313,578,1032
000314,578,1030
000315,584,980
000316,587,951
000317,583,990
000318,577,1035
000319,579,1025
000320,585,972
000321,586,953
000322,582,998
000323,577,1037
000324,579,1021
000325,585,969
000326,586,956
000327,582,1002
000328,578,1037
000329,580,1010
000330,586,959
000331,586,958
000332,580,1011
000333,578,1038
000334,581,1009
000335,586,960
000336,585,964
000337,580,1013
000338,577,1036
000339,582,1002
000340,586,956
000341,585,971
000342,578,1017
000343,578,1032
000344,583,992
000345,586,956
000346,584,979
000347,579,1024
000348,578,1029
000349,583,989
000350,586,956
000351,584,985
000352,578,1029
000353,578,1028
000354,583,982
000355,586,957
000356,583,992
000357,578,1031
000358,579,1023
000359,584,977
000360,586,959
000361,582,998
000362,578,1033
000363,579,1017
000364,585,972
000365,586,960
000366,581,1004
000367,577,1034
000368,580,1013
000369,585,969
000370,585,966
000371,581,1010
000372,578,1034
000373,581,1007
000374,585,966
000375,585,972
000376,580,1017
000377,578,1032
000378,582,1001
000379,585,963
000380,584,977
000381,579,1019
000382,578,1031
000383,583,996
000384,586,961
000385,584,982
000386,579,1022
000387,579,1028
000388,583,989
000389,586,961
000390,583,987
000391,579,1025
000392,579,1023
000393,584,984
000394,585,962
000395,583,993
000396,579,1027
000397,579,1019
000398,584,979
000399,586,962
000400,582,999
000401,578,1029
000402,580,1016
000403,584,976
000404,586,966
000405,582,1003
000406,578,1030
000407,581,1011
000408,585,971
000409,585,968
000410,581,1008
000411,579,1029
000412,581,1006
000413,585,968
000414,585,975
000415,580,1014
000416,579,1029
000417,582,1000
000418,586,966
000419,584,979
000420,580,1016
000421,579,1026
000422,582,996
000423,586,965
000424,584,984
000425,580,1018
000426,579,1023
000427,583,990
000428,585,966
000429,583,989
000430,579,1023
000431,580,1020
000432,584,987
000433,586,967
000434,583,994
000435,579,1023
000436,580,1017
000437,584,982
000438,585,967
000439,582,999
000440,579,1025
000441,580,1014
000442,584,978
000443,585,971
000444,582,1005
000445,579,1026
000446,581,1010
000447,585,975
000448,585,974
000449,581,1007
000450,579,1026
000451,582,1004
000452,585,972
000453,584,978
000454,581,1013
000455,579,1024
000456,582,1000
000457,585,970
000458,584,980
000459,581,1013
000460,580,1023
000461,583,996
000462,585,970
000463,584,986
000464,580,1017
000465,580,1018
000466,583,991
000467,585,969
000468,583,990
000469,580,1018
000470,581,1018
000471,584,987
000472,585,970
000473,583,994
000474,580,1021
000475,581,1014
000476,584,983
000477,585,972
000478,582,1000
000479,580,1022
000480,581,1011
000481,584,981
000482,585,973
000483,582,1003
000484,579,1022
000485,581,1008
000486,585,978
000487,585,978
000488,581,1008
000489,580,1021
000490,582,1005
000491,585,975
000492,584,981
000493,581,1010
000494,579,1022
000495,582,1000
000496,585,973
000497,584,984
000498,581,1015
000499,580,1020
000500,582,997
000501,585,973
000502,583,988
000503,581,1015
000504,580,1017
000505,583,992
000506,585,973
000507,583,992
000508,580,1017
000509,581,1015
000510,584,988
000511,585,974
000512,583,997
000513,580,1018
000514,581,1014
000515,584,985
000516,585,975
000517,582,1000
000518,580,1019
000519,581,1010
000520,584,982
000521,585,978
000522,582,1004
000523,580,1019
000524,582,1006
000525,585,980
000526,584,981
000527,581,1007
000528,580,1019
000529,582,1003
000530,585,978
000531,584,983
000532,581,1010
000533,580,1018
000534,582,999
000535,585,976
000536,584,986
000537,581,1012
000538,580,1017
000539,583,996
000540,585,976
000541,583,991
000542,581,1014
000543,581,1015
000544,583,992
000545,585,976
000546,583,994
000547,581,1015
000548,581,1013
000549,583,989
000550,585,977
000551,583,997
000552,580,1017
000553,581,1011
000554,584,986
000555,585,979
000556,582,1001
000557,580,1017
000558,581,1008
000559,584,983
000560,584,980
000561,582,1003
000562,580,1017
000563,582,1005
000564,584,982
000565,584,983
000566,581,1007
000567,580,1017
000568,582,1002
000569,584,980
000570,584,986
000571,581,1010
000572,580,1016
000573,582,999
000574,584,979
000575,584,989
000576,581,1012
000577,581,1014
000578,583,995
000579,585,978
000580,583,992
000581,581,1013
000582,581,1013
000583,583,992
000584,584,978
000585,583,995
000586,580,1014
000587,581,1010
000588,583,989
000589,584,979
000590,582,998
000591,580,1015
000592,581,1009
000593,583,986
000594,584,980
000595,582,1000
000596,580,1015
000597,581,1006
000598,584,984
000599,584,982
000600,581,1004
000601,580,1015
000602,581,1003
000603,584,982
000604,584,983
000605,581,1004
000606,581,1014
000607,582,1000
000608,584,981
000609,583,987
000610,581,1008
000611,580,1013
000612,582,997
000613,584,980
000614,583,990
000615,581,1010
000616,581,1012
000617,583,993
000618,584,980
000619,583,992
000620,581,1010
000621,581,1010
000622,583,992
000623,584,981
000624,583,994
000625,581,1012
000626,581,1009
000627,583,989
000628,584,981
000629,582,998
000630,581,1012
000631,581,1007
000632,584,987
000633,584,982
000634,583,999
000635,581,1013
000636,581,1005
000637,584,985
000638,584,984
000639,582,1002
000640,581,1013
000641,582,1001
000642,584,984
000643,583,987
000644,581,1005
000645,581,1012
000646,582,998
000647,584,983
000648,583,989
000649,581,1008
000650,581,1012
000651,583,997
000652,584,982
000653,583,992
000654,581,1009
000655,581,1010
000656,583,993
000657,584,982
000658,583,994
000659,581,1010
000660,581,1009
000661,583,992
000662,584,983
000663,583,996
000664,581,1011
000665,581,1007
000666,583,990
000667,584,984
000668,583,998
000669,581,1012
000670,582,1005
000671,583,988
000672,584,985
000673,582,1001
000674,581,1012
000675,582,1003
000676,584,986
000677,583,987
000678,582,1003
000679,581,1012
000680,582,1001
000681,584,985
000682,583,989
000683,582,1005
000684,581,1011
000685,582,998
000686,584,984
000687,583,990
000688,581,1007
000689,581,1010
000690,582,996
000691,584,984
000692,583,993
000693,581,1008
000694,581,1009
000695,583,994
000696,584,985
000697,583,995
000698,581,1009
000699,581,1006
000700,583,992
000701,584,984
000702,582,997
000703,581,1009
000704,582,1004
000705,583,990
000706,584,986
000707,582,999
000708,581,1009
000709,582,1003
000710,583,988
000711,584,987
000712,582,1001
000713,581,1010
000714,582,1001
000715,583,987
000716,583,988
000717,582,1003
000718,581,1010
000719,582,999
000720,584,986
000721,583,990
000722,582,1005
000723,581,1009
000724,582,997
000725,584,986
000726,583,992
000727,581,1006
000728,581,1008
000729,583,995
000730,584,986
000731,583,994
000732,581,1007
000733,581,1006
000734,583,993
000735,583,985
000736,582,996
000737,581,1008
000738,581,1005
000739,583,992
000740,583,986
000741,582,997
000742,581,1008
000743,581,1004
000744,583,990
000745,583,987
000746,582,999
000747,581,1008
000748,582,1001
000749,583,989
000750,583,988
000751,582,1001
000752,581,1009
000753,582,1000
000754,583,987
000755,583,989
000756,582,1003
000757,581,1007
000758,582,997
000759,583,987
000760,583,991
000761,582,1003
000762,581,1007
000763,583,995
000764,583,987
000765,583,993
000766,582,1005
000767,582,1006
000768,583,993
000769,583,987
000770,583,993
000771,581,1006
000772,581,1005
000773,583,992
000774,584,987
000775,583,995
000776,582,1006
000777,582,1004
000778,583,991
000779,583,988
000780,583,997
000781,581,1007
000782,582,1001
000783,583,989
000784,583,989
000785,582,1000
000786,581,1007
000787,582,1000
000788,583,989
000789,583,989
000790,582,1002
000791,582,1007
000792,582,998
000793,583,988
000794,583,991
000795,582,1003
000796,581,1007
000797,582,997
000798,583,988
000799,583,992
000800,582,1004
