frame,x,y
000001,511,1295
000002,512,1293
000003,511,1290
000004,511,1287
000005,512,1287
000006,512,1289
000007,512,1291
000008,511,1292
000009,509,1293
000010,508,1294
000011,506,1299
000012,505,1305
000013,504,1306
000014,510,1288
000015,533,1226
000016,558,1131
000017,574,1011
000018,584,893
000019,584,796
000020,576,716
000021,570,681
000022,574,697
000023,582,758
000024,585,852
000025,576,978
000026,561,1097
000027,544,1186
000028,526,1245
000029,517,1270
000030,523,1247
000031,543,1188
000032,563,1095
000033,577,977
000034,585,870
000035,583,776
000036,576,714
000037,574,693
000038,577,725
000039,583,796
000040,582,897
000041,573,1013
000042,557,1123
000043,539,1199
000044,525,1250
000045,524,1260
000046,535,1228
000047,554,1161
000048,572,1059
000049,585,943
000050,589,850
000051,585,771
000052,579,731
000053,578,729
000054,584,766
000055,588,843
000056,585,945
000057,572,1060
000058,556,1155
000059,539,1214
000060,529,1241
000061,531,1236
000062,545,1197
000063,563,1122
000064,577,1018
000065,587,909
000066,588,829
000067,584,766
000068,581,747
000069,582,756
000070,586,804
000071,587,886
000072,581,990
000073,568,1095
000074,551,1174
000075,538,1216
000076,533,1228
000077,540,1210
000078,555,1161
000079,571,1077
000080,583,974
000081,588,880
000082,587,813
000083,583,769
000084,583,762
000085,585,785
000086,587,845
000087,584,933
000088,576,1032
000089,563,1120
000090,548,1180
000091,540,1209
000092,540,1207
000093,549,1176
000094,564,1115
000095,577,1028
000096,586,933
000097,588,856
000098,587,802
000099,586,770
000100,586,783
000101,588,825
000102,588,906
000103,580,999
000104,573,1038
000105,561,1108
000106,548,1156
000107,542,1201
000108,546,1185
000109,562,1106
000110,576,1039
000111,580,1005
000112,586,920
000113,586,855
000114,585,819
000115,583,794
000116,584,829
000117,589,880
000118,585,957
000119,580,992
000120,569,1070
000121,557,1123
000122,546,1184
000123,547,1182
000124,556,1122
000125,568,1075
000126,578,1019
000127,587,941
000128,589,875
000129,588,828
000130,587,804
000131,587,813
000132,588,850
000133,587,910
000134,582,984
000135,574,1059
000136,563,1120
000137,553,1159
000138,552,1165
000139,556,1152
000140,564,1113
000141,574,1053
000142,583,980
000143,588,910
000144,588,856
000145,588,826
000146,588,821
000147,588,846
000148,588,892
000149,584,957
000150,578,1028
000151,568,1091
000152,558,1136
000153,554,1157
000154,555,1153
000155,562,1124
000156,570,1077
000157,579,1011
000158,586,942
000159,588,884
000160,588,853
000161,588,835
000162,588,846
000163,588,880
000164,586,934
000165,581,997
000166,574,1060
000167,564,1108
000168,558,1139
000169,558,1142
000170,562,1125
000171,569,1084
000172,577,1028
000173,584,967
000174,588,908
000175,589,864
000176,589,842
000177,589,845
000178,589,871
000179,587,915
000180,583,975
000181,577,1035
000182,568,1088
000183,561,1124
000184,559,1136
000185,561,1127
000186,567,1096
000187,574,1049
000188,582,989
000189,587,932
000190,589,882
000191,588,854
000192,589,849
000193,589,866
000194,588,909
000195,584,961
000196,579,1022
000197,571,1082
000198,564,1123
000199,559,1144
000200,560,1140
000201,565,1117
000202,572,1075
000203,579,1019
000204,586,961
000205,588,911
000206,588,878
000207,588,867
000208,589,876
000209,588,905
000210,585,948
000211,581,1003
000212,575,1061
000213,567,1106
000214,561,1133
000215,561,1137
000216,565,1121
000217,570,1086
000218,577,1034
000219,584,978
000220,587,929
000221,588,892
000222,588,873
000223,589,876
000224,588,895
000225,586,932
000226,582,983
000227,577,1038
000228,570,1080
000229,564,1109
000230,563,1117
000231,565,1110
000232,570,1083
000233,576,1041
000234,582,988
000235,587,938
000236,588,896
000237,589,871
000238,589,867
000239,589,884
000240,587,919
000241,584,966
000242,579,1017
000243,573,1064
000244,566,1098
000245,564,1113
000246,565,1110
000247,568,1089
000248,574,1053
000249,581,1005
000250,586,955
000251,588,910
000252,589,880
000253,589,874
000254,589,881
000255,587,911
000256,585,954
000257,581,1003
000258,575,1051
000259,568,1087
000260,565,1106
000261,566,1108
000262,568,1092
000263,572,1062
000264,579,1017
000265,584,969
000266,587,923
000267,588,890
000268,589,875
000269,589,880
000270,588,903
000271,586,942
000272,583,989
000273,577,1036
000274,571,1075
000275,567,1099
000276,566,1105
000277,568,1096
000278,572,1069
000279,577,1029
000280,583,981
000281,587,936
000282,588,900
000283,589,881
000284,589,880
000285,588,899
000286,586,933
000287,584,977
000288,578,1023
000289,572,1064
000290,568,1093
000291,566,1103
000292,567,1098
000293,571,1076
000294,576,1039
000295,582,994
000296,586,948
000297,587,910
000298,589,887
000299,589,880
000300,588,894
000301,587,924
000302,584,966
000303,580,1011
000304,574,1053
000305,569,1085
000306,567,1099
000307,567,1098
000308,570,1081
000309,575,1048
000310,581,1005
000311,585,960
000312,587,921
000313,589,893
000314,589,884
000315,589,892
000316,587,917
000317,585,956
000318,581,999
000319,575,1042
000320,570,1077
000321,568,1096
000322,567,1099
000323,569,1085
000324,573,1057
000325,579,1017
000326,584,972
000327,586,931
000328,588,904
000329,589,889
000330,588,893
000331,587,914
000332,586,946
000333,582,989
000334,577,1032
000335,571,1070
000336,568,1090
000337,567,1097
000338,568,1089
000339,572,1064
000340,578,1026
000341,583,984
000342,586,942
000343,587,911
000344,588,893
000345,588,892
000346,588,907
000347,586,939
000348,583,978
000349,578,1021
000350,573,1059
000351,569,1084
000352,568,1096
000353,568,1091
000354,571,1071
000355,577,1036
000356,581,994
000357,585,952
000358,587,920
000359,588,899
000360,588,894
000361,588,907
000362,586,934
000363,584,972
000364,580,1011
000365,574,1052
000366,570,1081
000367,568,1094
000368,568,1092
000369,571,1075
000370,576,1043
000371,581,1002
000372,584,962
000373,586,927
000374,588,903
000375,589,892
000376,588,902
000377,587,925
000378,585,961
000379,581,1001
000380,576,1040
000381,572,1070
000382,569,1087
000383,569,1090
000384,571,1076
000385,575,1047
000386,580,1010
