frame,x,y
000001,578,812
000002,578,812
000003,578,812
000004,579,768
000005,577,809
000006,573,927
000007,569,1044
000008,555,1134
000009,538,1179
000010,547,1156
000011,561,1080
000012,577,963
000013,581,850
000014,582,785
000015,581,796
000016,579,877
000017,574,999
000018,562,1100
000019,545,1161
000020,545,1162
000022,574,1001
000023,581,892
000024,584,807
000025,583,792
000026,581,852
000027,576,960
000028,566,1066
000029,552,1136
000030,545,1162
000031,556,1121
000032,571,1036
000033,580,931
000034,584,836
000035,584,800
000036,583,831
000037,579,923
000038,570,1033
000039,558,1111
000040,548,1153
000041,553,1134
000042,568,1064
000043,578,966
000044,583,870
000045,584,812
000046,585,819
000047,582,892
000048,574,997
000049,564,1082
000050,550,1139
000051,551,1140
000052,565,1086
000053,576,997
000054,582,904
000055,584,831
000056,585,820
000057,583,868
000058,578,962
000059,569,1054
000060,556,1118
000061,551,1140
000062,560,1103
000063,574,1025
000064,581,937
000065,584,854
000066,584,824
000067,584,851
000068,581,932
000069,572,1026
000070,561,1095
000071,552,1134
000072,557,1114
000073,570,1050
000074,580,966
000075,583,881
000076,584,834
000077,584,844
000078,582,907
000079,576,996
000080,565,1074
000081,555,1121
000082,556,1118
000083,566,1071
000084,577,992
000085,581,908
000086,584,848
000087,585,840
000088,583,886
000089,577,969
000090,569,1048
000091,560,1100
000092,556,1117
000093,563,1085
000094,574,1015
000095,580,937
000096,584,868
000097,585,844
000098,583,872
000099,578,944
000100,572,1024
000101,563,1083
000102,557,1113
000103,560,1094
000104,571,1037
000105,579,961
000106,583,889
000107,585,852
000108,584,863
000109,581,919
000110,575,999
000111,567,1063
000112,559,1101
000113,560,1098
000114,569,1053
000115,577,983
000116,580,915
000117,584,863
000118,585,859
000119,581,902
000120,576,975
000121,571,1040
000122,562,1088
000123,560,1097
000124,567,1064
000125,575,1004
000126,580,937
000127,584,879
000128,585,862
000129,583,889
000130,579,953
000131,573,1020
000132,565,1073
000133,561,1094
000134,565,1075
000135,573,1022
000136,579,956
000137,583,896
000138,585,868
000139,584,882
000140,581,934
000141,575,1002
000142,568,1058
000143,562,1088
000144,564,1079
000145,571,1037
000146,578,976
000147,582,916
000148,585,877
000149,584,878
000150,582,917
000151,577,982
000152,571,1040
000153,564,1078
000154,563,1083
000155,569,1049
000156,577,993
000157,580,934
000158,583,888
000159,584,878
000160,582,907
000161,578,964
000162,573,1023
000163,566,1066
000164,564,1079
000165,568,1058
000166,575,1008
000167,580,951
000168,583,901
000169,585,882
000170,582,900
000171,579,949
000172,574,1008
000173,569,1052
000174,565,1076
000175,567,1062
000176,573,1021
000177,579,965
000178,582,917
000179,584,889
000180,584,896
000181,580,934
000182,576,990
000183,571,1038
000184,566,1067
000185,567,1064
000186,572,1032
000187,578,981
000188,580,932
000189,584,897
000190,584,894
000191,581,924
000192,576,977
000193,573,1024
000194,568,1058
000195,567,1064
000196,570,1041
000197,576,995
000198,580,946
000199,583,905
000200,585,894
000201,582,916
000202,578,963
000203,574,1013
000204,569,1049
000205,567,1061
000206,569,1046
000207,575,1007
000208,580,958
000209,582,916
000210,584,899
000211,582,911
000212,580,951
000213,575,1000
000214,571,1038
000215,568,1056
000216,569,1049
000217,574,1016
000218,578,970
000219,581,928
000220,584,904
000221,584,909
000222,580,942
000223,576,988
000224,572,1028
000225,569,1050
000226,570,1049
000227,573,1023
000228,577,981
000229,581,940
000230,583,910
000231,583,909
000232,579,938
000233,576,977
000234,573,1017
000235,570,1044
000236,569,1050
000237,572,1029
000238,576,991
000239,580,950
000240,583,918
000241,583,911
000242,582,929
000243,578,967
000244,575,1008
000245,571,1037
000246,570,1047
000247,571,1032
000248,576,999
000249,579,960
000250,582,926
000251,584,911
000252,583,923
000253,579,958
000254,576,997
000255,572,1028
000256,570,1042
000257,572,1034
000258,576,1007
000259,579,969
000260,582,936
000261,583,918
000262,583,922
000263,580,950
000264,577,987
000265,573,1021
000266,571,1038
000267,572,1035
000268,574,1012
000269,578,979
000270,580,945
000271,583,922
000272,583,923
000273,581,945
000274,577,979
000275,574,1013
000276,572,1033
000277,572,1035
000278,574,1017
000279,578,986
000280,580,952
000281,582,929
000282,583,924
000283,581,941
000284,577,973
000285,575,1006
000286,572,1026
000287,572,1035
000288,573,1019
000289,577,992
000290,579,960
000291,582,934
000292,583,926
000293,581,939
000294,579,966
000295,576,998
000296,573,1021
000297,572,1031
000298,573,1021
000299,576,998
000300,579,967
000301,581,941
000302,583,929
000303,582,937
000304,580,959
000305,576,990
000306,574,1015
000307,573,1027
000308,573,1023
000309,575,1003
000310,578,974
000311,582,946
000312,582,933
000313,582,936
000314,580,955
000315,577,983
000316,575,1010
000317,573,1025
000318,573,1023
000319,576,1005
000320,578,979
000321,580,953
000322,582,936
000323,582,936
000324,580,952
000325,578,979
000326,575,1005
000327,574,1021
000328,573,1023
000329,574,1009
000330,577,984
000331,580,958
000332,581,939
000333,581,938
000334,580,951
000335,578,974
000336,576,1000
000337,574,1018
000338,574,1021
000339,575,1010
000340,577,988
000341,580,963
000342,581,942
000343,582,937
000344,581,947
000345,579,969
000346,576,995
000347,574,1014
000348,574,1020
000349,575,1011
000350,576,992
000351,578,968
000352,581,946
000353,581,939
000354,581,946
000355,579,966
000356,577,990
000357,575,1011
000358,574,1018
000359,574,1013
000360,576,994
000361,579,971
000362,580,950
000363,581,940
000364,581,945
000365,580,963
000366,577,987
000367,575,1006
000368,574,1016
000369,574,1013
000370,576,998
000371,578,976
000372,580,955
000373,582,943
000374,581,946
000375,580,959
000376,578,981
000377,575,1002
000378,574,1015
000379,574,1014
000380,576,1000
000381,578,979
000382,580,958
000383,581,946
000384,581,946
000385,580,958
000386,578,979
000387,576,999
000388,575,1012
000389,574,1013
000390,575,1001
000391,578,982
000392,580,960
000393,582,946
000394,582,943
000395,580,956
000396,578,975
000397,576,997
000398,575,1011
000399,574,1013
000400,575,1003
000401,577,985
000402,580,964
000403,581,950
000404,581,945
000405,580,954
000406,578,973
000407,577,992
000408,575,1008
000409,574,1013
000410,576,1004
000411,577,988
000412,580,967
000413,581,951
000414,582,945
000415,581,953
000416,579,970
000417,578,989
000418,576,1005
000419,575,1010
000420,576,1004
000421,577,990
000422,580,970
000423,582,954
000424,582,946
000425,581,952
000426,581,968
000427,578,986
000428,576,1003
000429,575,1010
000430,575,1007
000431,577,992
000432,580,974
000433,582,956
000434,582,948
000435,581,952
000436,581,965
000437,578,983
000438,577,1000
000439,576,1009
000440,576,1006
000441,577,995
000442,579,976
000443,581,959
000444,582,950
000445,582,952
000446,581,963
000447,579,981
000448,577,998
000449,575,1009
000450,575,1007
000451,576,998
000452,578,980
000453,580,962
000454,581,952
000455,581,952
000456,581,961
000457,579,978
000458,577,997
000459,575,1007
000460,575,1008
000461,576,998
000462,578,982
000463,580,966
000464,581,954
000465,581,953
000466,581,960
000467,579,976
000468,577,993
000469,576,1006
000470,575,1008
000471,577,1000
000472,578,985
000473,580,968
000474,581,956
000475,581,953
000476,581,960
000477,580,973
000478,578,990
000479,577,1003
000480,576,1007
000481,577,1000
000482,578,986
000483,580,970
000484,581,958
000485,581,954
000486,581,959
000487,579,973
000488,578,989
000489,577,1001
000490,576,1006
000491,577,1001
000492,578,988
000493,580,972
000494,581,958
000495,581,952
000496,580,958
000497,580,970
000498,578,985
000499,576,999
000500,576,1005
000501,576,1001
000502,578,989
000503,580,973
000504,581,960
000505,581,954
000506,581,956
000507,579,968
000508,577,983
000509,577,997
000510,576,1004
000511,576,1001
000512,577,990
000513,579,975
000514,581,961
000515,581,954
000516,580,958
000517,580,967
000518,578,982
000519,577,996
000520,576,1004
000521,576,1003
000522,577,993
000523,579,978
000524,580,963
000525,580,956
000526,580,957
000527,580,967
000528,578,980
000529,577,995
000530,576,1003
000531,576,1003
000532,577,994
000533,578,980
000534,580,966
000535,581,957
000536,581,957
000537,580,965
000538,579,979
000539,578,993
000540,576,1002
000541,576,1003
000542,577,995
000543,579,980
000544,580,966
