frame,x,y
000427,586,1033
000428,582,1057
000429,580,1069
000430,580,1070
000431,582,1059
000432,585,1039
000433,589,1010
000434,592,978
000435,595,948
000436,596,927
000437,596,916
000438,596,920
000439,595,935
000440,594,961
000441,591,991
000442,587,1023
000443,584,1049
000444,581,1065
000445,580,1070
000446,581,1065
000447,584,1047
000448,587,1021
000449,591,990
000450,594,960
000451,595,936
000452,596,919
000453,596,918
000454,595,929
000455,594,951
000456,592,979
000457,589,1011
000458,585,1039
000459,582,1060
000460,580,1068
000461,581,1067
000462,583,1054
000463,586,1031
000464,590,1002
000465,593,971
000466,595,944
000467,596,925
000468,596,918
000469,596,924
000470,595,943
000471,593,969
000472,590,1000
000473,587,1029
000474,583,1052
000475,581,1065
000476,580,1068
000477,582,1060
000478,585,1040
000479,588,1012
000480,592,982
000481,594,954
000482,595,932
000483,596,920
000484,596,921
000485,595,936
000486,594,959
000487,591,988
000488,588,1017
000489,584,1044
000490,581,1061
000491,580,1068
000492,581,1063
000493,584,1048
000494,587,1023
000495,591,993
000496,593,964
000497,595,940
000498,596,924
000499,596,920
000500,596,929
000501,594,949
000502,592,977
000503,589,1007
000504,586,1035
000505,582,1056
000506,581,1065
000507,581,1065
000508,583,1054
000509,586,1032
000510,589,1004
000511,593,974
000512,594,948
000513,595,928
000514,596,920
000515,596,925
000516,595,942
000517,593,967
000518,590,996
000519,587,1025
000520,583,1048
000521,581,1062
000522,581,1066
000523,582,1058
000524,585,1040
000525,588,1015
000526,591,986
000527,594,958
000528,595,936
000529,596,924
000530,596,924
000531,595,936
000532,594,958
000533,591,986
000534,588,1015
000535,585,1040
000536,582,1058
000537,581,1064
000538,582,1061
000539,584,1048
000540,587,1025
000541,590,997
000542,593,968
000543,595,944
000544,596,927
000545,596,922
000546,596,931
000547,595,949
000548,592,975
000549,589,1004
000550,586,1031
000551,583,1052
000552,581,1062
000553,581,1062
000554,583,1053
000555,586,1034
000556,589,1007
000557,592,978
000558,594,952
000559,596,933
000560,596,923
000561,596,927
000562,595,942
000563,594,966
000564,591,993
000565,587,1021
000566,584,1045
000567,582,1058
000568,581,1063
000569,582,1057
000570,585,1040
000571,588,1017
000572,591,988
000573,593,961
000574,595,940
000575,596,926
000576,596,925
000577,595,937
000578,594,957
000579,592,983
000580,589,1011
000581,585,1037
000582,583,1054
000583,581,1062
000584,582,1059
000585,584,1047
000586,587,1025
000587,590,999
000588,593,971
000589,595,946
000590,596,930
000591,596,925
000592,596,931
000593,595,949
000594,592,974
000595,590,1001
000596,587,1028
000597,583,1049
000598,582,1060
000599,582,1060
000600,583,1052
000601,586,1033
000602,589,1008
000603,592,980
000604,594,956
000605,595,935
000606,596,926
000607,596,928
000608,595,943
000609,593,965
000610,591,992
000611,588,1019
000612,585,1041
000613,582,1055
000614,582,1060
000615,583,1055
000616,585,1040
000617,588,1017
000618,591,990
000619,593,964
000620,595,943
000621,596,928
000622,596,927
000623,595,938
000624,594,958
000625,592,982
000626,589,1009
000627,586,1034
000628,583,1051
000629,582,1059
000630,582,1056
000631,584,1046
000632,587,1025
000633,590,1000
000634,592,973
000635,594,949
000636,595,933
000637,595,928
000638,595,934
000639,594,950
000640,592,973
000641,590,1000
000642,587,1025
000643,584,1046
000644,582,1056
000645,582,1059
000646,583,1051
000647,586,1033
000648,589,1009
000649,592,983
000650,594,958
000651,595,939
000652,595,929
000653,595,932
000654,595,944
000655,593,965
000656,591,991
000657,588,1017
000658,585,1039
000659,583,1052
000660,582,1058
000661,583,1052
000662,585,1040
000663,588,1017
000664,591,991
000665,593,966
000666,594,945
000667,596,931
000668,595,930
000669,595,939
000670,593,958
000671,592,982
000672,589,1008
000673,586,1032
000674,583,1049
000675,582,1056
000676,582,1055
000677,584,1044
000678,587,1025
000679,590,1001
000680,592,975
000681,594,952
000682,595,936
000683,596,930
000684,595,935
000685,594,951
000686,592,974
000687,590,999
000688,587,1024
000689,584,1044
000690,582,1055
000691,582,1056
000692,583,1048
000693,586,1032
000694,589,1009
000695,591,984
000696,594,960
000697,595,941
000698,596,932
000699,595,933
000700,594,946
000701,593,967
000702,591,990
000703,588,1016
000704,585,1038
000705,583,1052
000706,582,1056
000707,583,1052
000708,585,1039
000709,588,1018
000710,591,992
000711,593,968
000712,594,947
000713,595,935
000714,595,933
000715,595,941
000716,594,959
000717,592,982
000718,589,1007
000719,586,1030
000720,584,1046
000721,583,1053
000722,583,1052
000723,584,1041
000724,587,1024
000725,590,1001
000726,592,976
000727,594,954
000728,595,938
000729,595,932
000730,595,937
000731,594,953
000732,592,974
000733,590,999
000734,587,1023
000735,584,1042
000736,583,1053
000737,582,1055
000738,584,1047
000739,586,1031
000740,589,1009
000741,591,985
000742,594,962
000743,594,943
000744,595,934
000745,595,935
000746,594,947
000747,593,966
000748,591,989
000749,588,1014
000750,585,1035
000751,583,1048
000752,583,1053
000753,583,1049
000754,585,1036
000755,588,1016
000756,591,992
000757,593,968
000758,594,949
000759,595,936
000760,595,934
000761,595,942
000762,593,960
000763,592,982
000764,589,1006
000765,586,1028
000766,584,1045
000767,583,1052
000768,583,1051
000769,585,1041
000770,587,1023
000771,590,1000
000772,592,976
000773,594,955
000774,595,940
000775,595,935
000776,595,939
000777,594,953
000778,592,974
000779,590,998
000780,587,1021
000781,585,1039
000782,583,1051
000783,583,1052
000784,584,1045
000785,586,1030
000786,589,1008
000787,591,984
000788,593,962
000789,595,945
000790,595,936
000791,595,937
000792,594,949
000793,593,968
000794,591,990
000795,588,1014
000796,586,1034
000797,584,1046
000798,583,1052
000799,584,1047
000800,586,1035
000801,588,1016
000802,590,993
000803,593,970
000804,594,951
000805,595,938
000806,595,937
000807,595,944
000808,593,962
000809,591,983
000810,589,1007
000811,586,1028
000812,584,1043
000813,583,1050
000814,583,1049
000815,585,1040
000816,587,1022
000817,590,1000
000818,592,977
000819,594,957
000820,595,942
000821,595,936
000822,595,941
000823,594,956
000824,592,976
000825,590,999
000826,587,1021
000827,585,1038
000828,583,1048
000829,583,1050
000830,584,1042
000831,586,1028
000832,589,1007
000833,591,985
000834,593,963
000835,595,946
000836,595,938
000837,595,939
000838,594,950
000839,593,968
000840,591,990
000841,588,1013
000842,586,1031
000843,584,1044
000844,583,1048
000845,584,1044
000846,586,1032
000847,589,1013
000848,591,991
000849,593,969
000850,595,951
000851,596,939
000852,596,937
000853,595,945
000854,594,962
000855,592,983
000856,590,1006
000857,587,1024
000858,585,1041
000859,584,1048
000860,584,1047
000861,585,1036
000862,587,1020
000863,590,999
000864,592,976
000865,594,955
000866,595,942
000867,595,938
000868,595,942
000869,594,956
000870,592,976
000871,590,997
000872,588,1018
000873,585,1036
000874,584,1046
000875,584,1048
000876,585,1040
000877,587,1025
000878,589,1005
000879,592,981
000880,593,962
000881,595,946
000882,595,939
000883,595,941
000884,594,951
000885,593,970
000886,591,990
000887,589,1013
000888,586,1030
000889,584,1043
000890,584,1046
000891,585,1042
000892,586,1028
000893,589,1011
000894,591,990
000895,593,967
000896,595,949
000897,595,940
000898,595,939
000899,595,947
000900,594,963
000901,592,983
