Vernier Format 2
run12.txt 10/10/2025 15:9:6
Run 1
Time	Position	Position	Velocity	Acceleration	Velocity	Acceleration	
T	P	P	V	A	V	A	
s	m	m	m/s	m/s^2	m/s	m/s^2	

0.00	0.266	0.265	0.169	-0.055	-0.006	-0.059	
0.05	0.275	0.265	0.168	-0.112	-0.009	-0.056	
0.10	0.283	0.264	0.162	-0.199	-0.012	-0.051	
0.15	0.291	0.263	0.148	-0.291	-0.014	-0.049	
0.20	0.298	0.263	0.131	-0.361	-0.017	-0.035	
0.25	0.305	0.262	0.112	-0.418	-0.018	-0.020	
0.30	0.310	0.261	0.090	-0.470	-0.019	-0.016	
0.35	0.314	0.260	0.065	-0.511	-0.020	-0.010	
0.40	0.316	0.259	0.038	-0.531	-0.019	-0.015	
0.45	0.317	0.258	0.010	-0.529	-0.021	-0.013	
0.50	0.317	0.257	-0.016	-0.510	-0.022	0.019	
0.55	0.316	0.256	-0.041	-0.485	-0.019	0.043	
0.60	0.313	0.255	-0.064	-0.468	-0.016	0.047	
0.65	0.309	0.254	-0.088	-0.442	-0.015	0.053	
0.70	0.304	0.253	-0.109	-0.398	-0.012	0.072	
0.75	0.298	0.253	-0.128	-0.343	-0.007	0.079	
0.80	0.291	0.253	-0.144	-0.269	-0.004	0.075	
0.85	0.284	0.252	-0.155	-0.201	-0.000	0.087	
0.90	0.276	0.252	-0.163	-0.163	0.005	0.097	
0.95	0.268	0.253	-0.170	-0.125	0.011	0.090	
1.00	0.259	0.254	-0.181	0.011	0.014	0.085	
1.05	0.248	0.254	-0.169	0.149	0.018	0.098	
1.10	0.242	0.255	-0.160	0.188	0.025	0.090	
1.15	0.233	0.257	-0.155	0.291	0.028	0.061	
1.20	0.226	0.258	-0.132	0.401	0.029	0.056	
1.25	0.220	0.260	-0.111	0.442	0.034	0.055	
1.30	0.215	0.262	-0.086	0.450	0.036	0.032	
1.35	0.211	0.263	-0.066	0.454	0.036	0.010	
1.40	0.208	0.265	-0.043	0.493	0.037	-0.008	
1.45	0.207	0.267	-0.016	0.530	0.036	-0.025	
1.50	0.206	0.269	0.011	0.547	0.034	-0.039	
1.55	0.208	0.271	0.039	0.545	0.032	-0.055	
1.60	0.210	0.272	0.072	0.438	0.029	-0.075	
1.65	0.216	0.274	0.084	0.318	0.025	-0.100	
1.70	0.218	0.275	0.093	0.382	0.019	-0.123	
1.75	0.224	0.275	0.121	0.454	0.012	-0.143	
1.80	0.231	0.276	0.148	0.355	0.004	-0.150	
1.85	0.240	0.276	0.161	0.170	-0.004	-0.137	
1.90	0.247	0.275	0.161	0.048	-0.009	-0.137	
1.95	0.256	0.275	0.163	-0.015	-0.017	-0.145	
2.00	0.264	0.274	0.160	-0.086	-0.024	-0.132	
2.05	0.272	0.273	0.153	-0.137	-0.030	-0.118	
2.10	0.279	0.271	0.146	-0.174	-0.036	-0.096	
2.15	0.286	0.269	0.137	-0.231	-0.040	-0.064	
2.20	0.293	0.267	0.123	-0.305	-0.042	-0.043	
2.25	0.299	0.264	0.106	-0.374	-0.044	-0.041	
2.30	0.304	0.262	0.085	-0.415	-0.046	-0.050	
2.35	0.307	0.260	0.063	-0.433	-0.050	-0.034	
2.40	0.310	0.257	0.042	-0.455	-0.051	0.012	
2.45	0.312	0.255	0.018	-0.476	-0.048	0.044	
2.50	0.312	0.253	-0.007	-0.479	-0.046	0.059	
2.55	0.311	0.250	-0.031	-0.456	-0.042	0.084	
2.60	0.309	0.248	-0.053	-0.425	-0.037	0.111	
2.65	0.306	0.246	-0.073	-0.404	-0.031	0.141	
2.70	0.301	0.245	-0.093	-0.374	-0.023	0.162	
2.75	0.296	0.244	-0.112	-0.314	-0.015	0.173	
2.80	0.290	0.244	-0.126	-0.234	-0.005	0.179	
2.85	0.283	0.244	-0.134	-0.173	0.004	0.178	
2.90	0.277	0.244	-0.141	-0.149	0.013	0.173	
2.95	0.269	0.245	-0.148	-0.130	0.020	0.176	
3.00	0.262	0.246	-0.160	-0.013	0.030	0.182	
3.05	0.252	0.248	-0.150	0.114	0.040	0.154	
3.10	0.247	0.250	-0.142	0.147	0.046	0.111	
3.15	0.238	0.252	-0.139	0.232	0.051	0.082	
3.20	0.233	0.255	-0.120	0.320	0.053	0.069	
3.25	0.227	0.258	-0.105	0.370	0.056	0.075	
3.30	0.222	0.261	-0.083	0.409	0.062	0.058	
3.35	0.218	0.264	-0.061	0.400	0.064	0.006	
3.40	0.216	0.267	-0.044	0.408	0.062	-0.038	
3.45	0.214	0.270	-0.022	0.443	0.059	-0.057	
3.50	0.214	0.273	0.003	0.455	0.057	-0.079	
3.55	0.215	0.276	0.023	0.473	0.051	-0.109	
3.60	0.215	0.278	0.048	0.515	0.046	-0.135	
3.65	0.219	0.281	0.082	0.417	0.038	-0.165	
3.70	0.225	0.282	0.091	0.284	0.028	-0.180	
3.75	0.227	0.283	0.103	0.271	0.020	-0.188	
3.80	0.235	0.284	0.122	0.202	0.010	-0.201	
3.85	0.241	0.285	0.124	0.127	-0.000	-0.209	
3.90	0.247	0.284	0.131	0.098	-0.011	-0.208	
3.95	0.254	0.283	0.136	0.034	-0.022	-0.200	
4.00	0.261	0.282	0.135	-0.034	-0.031	-0.200	
4.05	0.267	0.280	0.132	-0.100	-0.042	-0.192	
4.10	0.274	0.278	0.125	-0.165	-0.051	-0.160	
4.15	0.280	0.275	0.115	-0.214	-0.057	-0.136	
4.20	0.286	0.272	0.103	-0.252	-0.064	-0.125	
4.25	0.291	0.269	0.089	-0.281	-0.071	-0.092	
4.30	0.295	0.265	0.075	-0.306	-0.074	-0.049	
4.35	0.298	0.261	0.059	-0.338	-0.075	-0.016	
4.40	0.301	0.257	0.041	-0.372	-0.076	0.023	
4.45	0.302	0.254	0.021	-0.389	-0.073	0.062	
4.50	0.303	0.250	0.001	-0.381	-0.069	0.090	
4.55	0.302	0.247	-0.017	-0.374	-0.064	0.120	
4.60	0.301	0.243	-0.036	-0.365	-0.057	0.155	
4.65	0.299	0.241	-0.055	-0.325	-0.048	0.183	
4.70	0.295	0.239	-0.070	-0.268	-0.039	0.209	
4.75	0.292	0.237	-0.080	-0.232	-0.028	0.239	
4.80	0.288	0.236	-0.092	-0.219	-0.014	0.254	
4.85	0.282	0.236	-0.103	-0.182	-0.001	0.246	
4.90	0.277	0.236	-0.110	-0.140	0.010	0.244	
4.95	0.271	0.236	-0.115	-0.129	0.023	0.244	
5.00	0.266	0.238	-0.123	-0.104	0.035	0.238	
5.05	0.259	0.240	-0.132	0.033	0.047	0.230	
5.10	0.251	0.243	-0.124	0.227	0.059	0.198	
5.15	0.246	0.246	-0.098	0.225	0.068	0.144	
5.20	0.243	0.250	-0.096	0.134	0.072	0.100	
5.25	0.236	0.253	-0.095	0.212	0.076	0.082	
5.30	0.233	0.257	-0.076	0.312	0.081	0.049	
5.35	0.229	0.262	-0.059	0.335	0.082	0.007	
5.40	0.227	0.265	-0.042	0.332	0.081	-0.021	
5.45	0.225	0.270	-0.026	0.332	0.080	-0.059	
5.50	0.224	0.274	-0.009	0.339	0.076	-0.104	
5.55	0.224	0.277	0.008	0.345	0.069	-0.133	
5.60	0.225	0.281	0.026	0.351	0.062	-0.151	
5.65	0.227	0.283	0.042	0.363	0.055	-0.186	
5.70	0.229	0.286	0.060	0.386	0.044	-0.234	
5.75	0.232	0.288	0.086	0.306	0.030	-0.256	
5.80	0.238	0.289	0.097	0.124	0.017	-0.247	
5.85	0.243	0.290	0.093	0.035	0.006	-0.253	
5.90	0.247	0.290	0.095	0.055	-0.007	-0.271	
5.95	0.252	0.289	0.099	0.075	-0.022	-0.261	
6.00	0.257	0.288	0.105	0.047	-0.034	-0.239	
6.05	0.263	0.286	0.106	-0.026	-0.046	-0.222	
6.10	0.268	0.283	0.103	-0.109	-0.056	-0.210	
6.15	0.273	0.280	0.094	-0.174	-0.067	-0.187	
6.20	0.277	0.276	0.083	-0.191	-0.076	-0.138	
6.25	0.281	0.272	0.074	-0.182	-0.080	-0.102	
6.30	0.285	0.268	0.066	-0.198	-0.086	-0.080	
6.35	0.288	0.264	0.055	-0.238	-0.090	-0.034	
6.40	0.291	0.259	0.042	-0.286	-0.089	0.014	
6.45	0.292	0.255	0.025	-0.306	-0.087	0.041	
6.50	0.293	0.250	0.010	-0.295	-0.086	0.087	
6.55	0.293	0.246	-0.004	-0.278	-0.079	0.148	
6.60	0.292	0.242	-0.017	-0.263	-0.070	0.183	
6.65	0.292	0.239	-0.030	-0.259	-0.061	0.211	
6.70	0.289	0.236	-0.044	-0.241	-0.049	0.249	
6.75	0.287	0.234	-0.055	-0.204	-0.035	0.271	
6.80	0.284	0.233	-0.064	-0.166	-0.021	0.267	
6.85	0.281	0.232	-0.070	-0.149	-0.009	0.282	
6.90	0.277	0.232	-0.079	-0.127	0.006	0.314	
6.95	0.273	0.232	-0.085	-0.072	0.024	0.309	
7.00	0.268	0.234	-0.086	-0.021	0.039	0.277	
7.05	0.264	0.236	-0.086	0.020	0.051	0.246	
7.10	0.259	0.239	-0.084	0.060	0.063	0.218	
7.15	0.255	0.243	-0.080	0.085	0.073	0.189	
7.20	0.252	0.247	-0.075	0.104	0.082	0.153	
7.25	0.248	0.251	-0.070	0.141	0.089	0.103	
7.30	0.244	0.256	-0.062	0.189	0.093	0.048	
7.35	0.241	0.260	-0.050	0.219	0.093	0.011	
7.40	0.239	0.265	-0.039	0.229	0.093	-0.008	
7.45	0.238	0.270	-0.027	0.226	0.093	-0.042	
7.50	0.237	0.274	-0.016	0.214	0.090	-0.097	
7.55	0.236	0.279	-0.005	0.198	0.084	-0.162	
7.60	0.237	0.283	-0.001	0.255	0.073	-0.216	
7.65	0.235	0.286	0.019	0.328	0.061	-0.243	
7.70	0.238	0.289	0.042	0.229	0.049	-0.263	
7.75	0.240	0.291	0.044	0.100	0.034	-0.281	
7.80	0.243	0.292	0.047	0.066	0.020	-0.293	
7.85	0.245	0.293	0.044	0.145	0.005	-0.303	
7.90	0.246	0.293	0.061	0.221	-0.010	-0.305	
7.95	0.251	0.292	0.077	0.111	-0.026	-0.298	
8.00	0.255	0.290	0.072	-0.003	-0.041	-0.270	
8.05	0.258	0.288	0.070	-0.019	-0.053	-0.236	
8.10	0.262	0.285	0.071	-0.035	-0.064	-0.208	
8.15	0.265	0.281	0.069	-0.072	-0.074	-0.185	
8.20	0.269	0.278	0.063	-0.110	-0.083	-0.166	
8.25	0.272	0.273	0.057	-0.130	-0.091	-0.130	
8.30	0.274	0.268	0.050	-0.138	-0.096	-0.077	
8.35	0.277	0.263	0.043	-0.144	-0.099	-0.025	
8.40	0.279	0.258	0.036	-0.155	-0.099	0.021	
8.45	0.280	0.253	0.027	-0.166	-0.096	0.060	
8.50	0.281	0.249	0.019	-0.176	-0.093	0.107	
8.55	0.282	0.244	0.010	-0.186	-0.087	0.170	
8.60	0.282	0.240	0.000	-0.189	-0.075	0.214	
8.65	0.282	0.236	-0.010	-0.179	-0.064	0.239	
8.70	0.281	0.233	-0.018	-0.159	-0.051	0.267	
8.75	0.280	0.231	-0.026	-0.139	-0.037	0.292	
8.80	0.279	0.230	-0.032	-0.122	-0.022	0.324	
8.85	0.277	0.229	-0.038	-0.108	-0.004	0.340	
8.90	0.275	0.229	-0.043	-0.095	0.012	0.337	
8.95	0.273	0.230	-0.047	-0.077	0.030	0.320	
9.00	0.270	0.232	-0.051	-0.051	0.045	0.288	
9.05	0.268	0.235	-0.053	-0.020	0.058	0.258	
9.10	0.265	0.238	-0.053	0.012	0.071	0.226	
9.15	0.262	0.242	-0.051	0.029	0.081	0.186	
9.20	0.260	0.246	-0.049	0.027	0.090	0.140	
9.25	0.257	0.251	-0.049	0.048	0.095	0.092	
9.30	0.255	0.256	-0.045	0.087	0.099	0.042	
9.35	0.253	0.261	-0.040	0.108	0.099	0.000	
9.40	0.251	0.266	-0.033	0.110	0.098	-0.027	
9.45	0.250	0.271	-0.029	0.112	0.097	-0.069	
9.50	0.248	0.276	-0.023	0.127	0.093	-0.130	
9.55	0.247	0.280	-0.016	0.140	0.084	-0.178	
9.60	0.246	0.284	-0.009	0.143	0.074	-0.208	
9.65	0.246	0.288	-0.001	0.142	0.063	-0.238	
9.70	0.246	0.291	0.006	0.130	0.051	-0.282	
9.75	0.247	0.293	0.012	0.108	0.034	-0.317	
9.80	0.248	0.294	0.016	0.098	0.018	-0.321	
9.85	0.249	0.295	0.021	0.105	0.002	-0.311	
9.90	0.250	0.294	0.027	0.102	-0.014	-0.292	
9.95	0.251	0.293	0.033	0.076	-0.027	-0.284	
10.00	0.253	0.292	0.035	0.042	-0.042	-0.286	
10.05	0.255	0.289	0.036	0.031	-0.057	-0.263	
10.10	0.257	0.286	0.038	0.026	-0.069	-0.220	
10.15	0.259	0.282	0.038	0.018	-0.078	-0.179	
10.20	0.260	0.278	0.040	0.012	-0.086	-0.150	
10.25	0.263	0.274	0.041	-0.015	-0.094	-0.113	
10.30	0.265	0.268	0.038	-0.043	-0.098	-0.067	
10.35	0.267	0.264	0.036	-0.058	-0.101	-0.020	
10.40	0.268	0.258	0.032	-0.071	-0.101	0.046	
10.45	0.270	0.253	0.028	-0.079	-0.095	0.099	
10.50	0.271	0.249	0.024	-0.076	-0.090	0.122	
10.55	0.272	0.244	0.021	-0.071	-0.084	0.157	
10.60	0.273	0.240	0.018	-0.093	-0.074	0.202	
10.65	0.274	0.237	0.011	-0.110	-0.063	0.232	
10.70	0.274	0.234	0.006	-0.105	-0.051	0.265	
10.75	0.275	0.232	0.001	-0.102	-0.037	0.306	
10.80	0.274	0.230	-0.004	-0.098	-0.020	0.330	
10.85	0.274	0.229	-0.009	-0.092	-0.002	0.328	
10.90	0.274	0.230	-0.014	-0.085	0.014	0.302	
10.95	0.273	0.231	-0.018	-0.067	0.027	0.286	
